0.574688432844159-0.818372290070433i,0.916285592168691-0.400525546730882i,-0.997520244409325-0.0703801249896687i,-0.882361377171034+0.470572417462857i,0.969461960676806-0.245241731360474i,0.287622182929374-0.957743953197796i,0.146620895600844+0.989192758249476i,0.724231874764513-0.689556518042632i,0.53456740415774-0.845125842944147i,-0.816894704188114-0.576786825672548i
0.394513742347002+0.918890040809761i,-0.518785085550135+0.854904693524804i,-0.405233245580642-0.914213332147469i,0.674682161898838+0.73810837985726i,-0.256860945438969-0.966448371465439i,0.0405923117173166+0.999175792455684i,-0.787499788009041+0.616314922653764i,-0.946780349031663-0.321880367042606i,0.994118482332449+0.108297936660992i,0.880022934267043+0.474931189925471i
-0.435397028388154+0.900238539316533i,-0.828883268533159+0.559421600535577i,0.676617855519571-0.736334351766979i,-0.492773653497835+0.870157529656783i,-0.733583834483131-0.679598968351944i,-0.278983117970666-0.960296006389366i,-0.981725846032524+0.190300717895978i,-0.219699467954224+0.975567600825607i,0.247129998568422+0.968982334104999i,-0.736764948692678+0.676148955761877i
-0.107533464923959+0.994201465459314i,-0.937504230474108-0.347973875230815i,0.85541028431723+0.517951006837825i,0.85697766377248+0.515353552229013i,-0.982837407645034-0.184473928059194i,-0.287460901757067-0.957792373096077i,0.378707979797541+0.925516215977692i,-0.5402137846508+0.841527817052568i,0.571823941078911+0.820376365096522i,-0.500524569145954-0.865722331744571i
0.945291685379256+0.326226347116301i,-0.955882456731464+0.293749432191826i,0.953019156227101+0.302910032623853i,0.0962585205114301+0.995356366950526i,0.9186181045892+0.395146527152833i,0.249134666140539-0.96846885242998i,0.155351479127844-0.987859260184765i,-0.640882462209531+0.767639022999905i,-0.999423418238973+0.0339533661884558i,-0.0108940328848047-0.999940658263032i
0.550550008353622+0.834802185132398i,-0.832107934026517+0.554613726957891i,-0.998255692220943+0.0590387410814866i,0.154491657308452-0.987994093009714i,-0.583740612468488+0.81194020552927i,-0.829093858864675+0.559109446524455i,-0.291820388363907+0.95647313654652i,0.727840409639601+0.685746555292594i,0.390598644104891+0.920561078486062i,0.53801041436176-0.842938191113849i
-0.102593196961234-0.99472339669743i,-0.63690691916162+0.770940708695587i,-0.617518630649845+0.786556254059645i,-0.251290686793721-0.967911664735341i,0.475209527297744+0.879872664176729i,0.827066487569727-0.562104105250152i,0.435297353805542+0.900286739750116i,-0.144516330187462-0.98950241551456i,0.476506145280248-0.879171140057588i,0.997966241885347-0.0637446472830293i
-0.902356382201968-0.43099067217212i,-0.997087125046927-0.0762709975393884i,-0.983783850870528+0.179358118763423i,0.732937411809465+0.680296075521564i,0.975351662542087-0.220656145113582i,0.0645684210619625-0.997913282305414i,0.963518618624744-0.267641311391692i,0.876454953696127-0.481483866958717i,-0.998283400879129-0.0585683492101354i,-0.00137457469184222+0.999999055271762i
0.278185971027524+0.960527233098299i,-0.08586670490777-0.996306634018002i,0.263145533521613+0.964756149598242i,0.736571475616328-0.676359712954863i,-0.876384252207125-0.481612543943115i,-0.726259622042234+0.687420512780257i,0.502488601503351-0.864583833621244i,-0.968361604161934+0.249551204334753i,-0.749995235977952-0.661443229620182i,0.391344703856992+0.920244164753618i
-0.85236363540366-0.522949551143756i,-0.0843769060505537-0.996433910365026i,0.796577909949052+0.60453588262501i,-0.487389719336355+0.873184551790301i,0.388715778736395+0.921357717372226i,-0.529909006796268+0.848054505628142i,0.955528877642239+0.294897548297307i,-0.525350070556546-0.850886187081582i,-0.476591399992722-0.879124927102501i,-0.418310276282383+0.908304196157078i
0.339423343658999+0.94063371924429i,0.890336799854759+0.455302517920104i,-0.939264910728706+0.343192988672257i,0.99628432980633+0.0861251077349223i,-0.263061067130169-0.964779184560041i,0.585388475477035-0.810752941887153i,0.999031295701658-0.0440053429558998i,-0.0931716440343772+0.995650061391015i,-0.901823928661714-0.432103693218598i,0.862942823076359+0.505301577378306i
-0.758915190447789+0.651189476041802i,0.257533120751352-0.966269471584438i,-0.80599795447228+0.59191831986052i,0.256669728036464-0.96649917263787i,-0.965559183873788+0.26018351684337i,-0.56927830129246-0.822144887278131i,0.895188199136771+0.445688330704613i,0.0392067353270839-0.999231120364549i,-0.988399764894804+0.151874634998397i,0.938619294970897+0.34495480734197i
-0.969655688957099+0.244474630326205i,0.990864158693436+0.134863705335239i,0.492544431596096+0.870287299059155i,0.78087630982088+0.62468567196673i,-0.0359972820132461-0.99935188781913i,0.726297958650379-0.687380007899773i,0.911977646974265+0.410239894963037i,0.115018525278407-0.993363346838799i,-0.181514902890684-0.983388193964411i,0.757170862943128-0.65321687387112i
-0.370320081764353-0.928904213060767i,0.0379535877764669+0.999279503029505i,0.947985507412931-0.318313489715795i,0.172218545481583-0.985058766060283i,-0.429414097307885-0.90310770843419i,-0.359380839300944+0.933190983852367i,-0.46383109542574+0.885923650726268i,-0.457245864975533+0.889340327975054i,0.995018829595771-0.099687154387427i,-0.819750294073179-0.572721097364971i
-0.436779260338001-0.899568717630059i,0.223795880315379-0.974636036658744i,0.131844926953836+0.991270354260904i,0.790291237697069+0.61273139271563i,0.895969790704977+0.444115001034731i,0.984982541327666-0.172653969776815i,-0.900908051186498+0.434010003695014i,0.970672089384246-0.240407351989125i,0.76013638834362+0.649763550159531i,0.887709600872709-0.460403805933895i
0.999182757279338-0.0404205090969786i,0.0536545985058927-0.998559554588093i,-0.378583472367752+0.925567152858168i,-0.927235785867917-0.374478033275528i,-0.993233277305481+0.116136371792013i,0.975583340099364-0.21962956659013i,0.874238304956956+0.48549705060483i,-0.437384004365513-0.899274837146681i,0.412439814030944-0.910984851576644i,-0.980798459084524+0.195024056612056i
0.0173680166322902-0.999849164623475i,0.412745681919237-0.910846310887311i,-0.394914616388103+0.918717827062824i,0.704259825444926+0.709942320378411i,0.122023561866181-0.992527203833472i,0.507781136832654+0.86148610962507i,0.31195121951609+0.950098119481575i,-0.866332839499361-0.499467127251608i,-0.508831522871334-0.860866122769644i,0.234783335863408+0.972047727841i
0.930283205563542-0.366842142407904i,0.97845864945395-0.206442900843679i,0.28084112703825+0.959754271344434i,0.209385914011861+0.977833083411181i,-0.93292517285656+0.360070301261513i,-0.0120908547084981-0.999926902944619i,0.923341112070371-0.383980716652087i,-0.988874120772321+0.148754741997589i,-0.460822632563233+0.887492254229575i,-0.471739086029929+0.881738189437005i
0.771427018165544-0.636317810252249i,-0.295107036621938+0.955464199714578i,-0.998648940771859-0.0519643444608418i,-0.553399598782558-0.832915892552966i,-0.847268052050888-0.531165556087643i,0.739805035766381-0.672821305440533i,-0.990557872374287+0.137095227770061i,0.96341126089197+0.268027503041283i,-0.109654083045995+0.993969809436555i,0.814290500427523+0.580457561681726i
0.898467039231994-0.439040976918664i,0.522535353519293-0.852617619054678i,-0.00768326461639257-0.999970483286799i,0.613464042030666+0.78972265330013i,0.998689624259116-0.0511765023930531i,-0.571445333785268+0.820640134587045i,-0.553693929684536+0.832720260489978i,-0.718482532990441-0.695545001985953i,-0.40489770850802-0.914361988298373i,0.587748981397145+0.809043345480709i
-0.303755106069351+0.952750143288783i,-0.841277068594947+0.540604193339539i,0.12967038067689+0.991557155374873i,0.996884135212313+0.0788797880448425i,0.697877273660133-0.716217362892509i,-0.746498536302296-0.665387056756088i,-0.118751344886294+0.992924024327993i,0.389011028333379-0.921233097448744i,0.0686150897167897-0.997643207496125i,-0.875497745408307-0.483222203323659i
-0.371859908782284+0.928288860344899i,-0.654015992632024+0.756480721090464i,-0.395854863228495-0.918313087818283i,-0.990909763032304-0.134528218330811i,0.105016563277311-0.994470472883646i,-0.957077491307098-0.289832150793026i,0.909143511130371+0.416482984249705i,-0.155532630210662-0.987830755210503i,-0.735132872356871-0.677923048715956i,0.472917026951599+0.881106966048539i
