38.9364094065278+65.6772451230365i,109.193877065162+24.9612930851819i,104.182837663491-105.124230104922i,57.577531158604-72.5249287549432i,-151.783601482474-87.9886934310614i,-164.302856728439-103.663052771171i,11.8323326598497+45.9860964750459i,-22.7318799953188+69.2883675811885i,-65.5941372117498+121.853742144407i,-87.3781847862754-106.105711334594i
88.9466495986687+47.0931530499024i,-37.7443134615102+14.122493500071i,-27.9548444131705-12.6720511271407i,90.199516971741+4.10964238510715i,78.2309839344786-90.4078887253466i,164.173676669233-132.992359156973i,-23.0007364339441+27.7436030981049i,4.97066965510031-33.0309345264678i,88.7624169641688-92.7938499493162i,83.477129943422-26.9938016878767i
45.7037834148807+26.2631600141268i,92.9955891432888-63.2891269227855i,10.557530518214-139.113909848183i,11.5744581614845-37.3856986936476i,-133.127489205125+32.0400195077902i,-122.030017419476+69.0435258596525i,10.3929063007416+8.68711054556053i,42.6803451955835+52.3492688898273i,45.9881251069287+137.594017201242i,-51.2777594141917-18.3684843879828i
7.51722664164225+29.7252244642806i,-58.5083903799399+35.2433448731406i,-14.1448964730992+62.9865601117451i,125.940134855385+5.73195608176173i,96.8375151655299-134.879319826348i,210.390701837435-176.970394196912i,-55.8711580552133+26.9533681461841i,-35.4796451606527-63.0039921912228i,23.8507874338681-139.1930358945i,129.032302013257-135.715805091738i
84.0906911709748+15.3460985817454i,90.4198937106725-64.3723807339363i,-11.9984869805927-171.545231704608i,11.0201283139335-24.1291244143106i,-114.151776791193+59.0340098075872i,-132.818706097702+98.7504910426718i,33.9315607590861+9.09160637886086i,61.2335482214565+47.1047616479399i,89.0339861140335+147.210494752431i,-50.986619091606+38.4782701393876i
26.9831543072617+53.0247213369088i,-37.87947698437+12.2652267299608i,1.50146659921214+45.6989328869063i,88.0600294391237-16.6424889168854i,44.536555244542-132.515453256854i,181.078251396654-184.534734091216i,-63.6642330992784+26.1989532993186i,-22.5741051243588-29.3137103915006i,15.8182467401073-119.019964309424i,91.4803428538493-123.601172628125i
11.0391015974552-6.04093958852289i,58.8091513556673-22.1078165796649i,-13.0602737494835-110.175009953264i,78.4102247555686-7.85034045353784i,-46.3937155210928+26.0241180526873i,-74.2526338141593+77.1182875600857i,25.6169936600921+13.2874322043062i,15.6961230985179-2.4361420583702i,58.8693791647637+105.992166770338i,-1.50913632169278-45.3860555995451i
137.928648619151+54.8827679715342i,-5.84429917914502-41.0973916972038i,-20.9127653377317-41.9123992833396i,6.49282513929362-22.8336527560222i,-22.9133502628182-74.8325577919209i,105.09862782152-139.329959110002i,-40.5156816541672+18.1630146999614i,46.6582016066743+19.1074539383996i,77.0939864070477-75.8482486534095i,49.6900108432496+10.8314319304007i
-108.284174231503+15.7756977523507i,32.8856825026672+27.9189254866673i,26.5911148153028-19.202970287316i,152.822667868724-18.2758899848858i,1.90658307311952-39.7036612817197i,-0.78040763451137+17.2987057876127i,-5.44102848887015+25.8568790280561i,-60.7712393735139-36.5711877736151i,-16.253670780887+72.0698677872421i,12.3232528080983-198.426829607068i
237.077419928768+9.93630001438927i,8.88084457910661-75.4801778579604i,-70.2635850159744-112.703996342645i,-43.1058016611663-4.04062463484015i,-45.5211977959975-19.10820754035i,45.4446581264771-83.8636548065172i,-7.74215062434254+4.2796240834604i,110.122365782657+30.5820338174296i,144.306474687253-63.0200825925721i,64.7328266790548+140.551055357601i
-161.134729605379+68.1653181236639i,27.6952946360333+35.2753300438332i,66.2123451722882+15.8001594567403i,164.521948346991-40.5641151302159i,-3.89131413080256-66.5225668246844i,34.2009039768265-18.4941912457458i,-31.5950790331989+38.1342856885183i,-93.632133477892-26.6741383979333i,-54.2512062715831+77.5557399738008i,-26.6932203908926-272.214441667625i
233.47021117935-34.9979113950533i,7.31858039168321-53.1681976036593i,-87.5114700667022-105.839834329932i,-15.9847284627047+7.1371925234544i,-22.3718008500011-30.3450266733599i,32.1241667246833-83.3389024656577i,7.94803633122888-1.05248851072582i,101.93109058224+6.27223934783673i,139.328072729735-82.983473570055i,105.904980474319+136.632301572162i
-103.057586674135+86.2474690647859i,29.4004777071621-14.1701999706641i,47.0764498908701-26.1364408940372i,105.685592432231-36.7976120281908i,-33.5626910071894-16.0236632594791i,29.6556624299007+18.9381124632915i,-33.6837113406644+33.9242625283612i,-45.0870141573578-0.388479716680145i,-3.27370580674201+97.1916387852643i,-53.0170074577753-193.110871394704i
140.193855483619-20.116976583949i,8.70249836286558+11.69303657975i,-34.285886324347-43.1989270794973i,57.3393212411331-17.7917665722629i,-2.54306633663025-107.585955316403i,40.9850477662415-155.394820604281i,-0.906271771681524+14.9245554430958i,24.259248534506-11.5416457318507i,51.9199473395797-94.0721700130475i,98.3598568518645+0.914000419454544i
0.960277168419722+37.7507437496507i,22.142659460475-80.9825063792292i,-33.8892280961317-89.8095074865038i,35.7709044759552+0.123576698870288i,-36.8696469082321+70.0114787001699i,23.6019102108798+108.452294880779i,-16.6385375132812+8.77284376019492i,42.1124302093461+1.53126379568248i,101.6130476451+89.4643390829977i,-11.6866877368901-37.1617350643975i
53.8265224358389+45.1924715846148i,18.5777362321989+64.3394518731322i,52.4968595861306+5.31551700768305i,105.757835086544-59.5798196204215i,-20.2375423289259-178.816554023961i,34.8729303552235-243.740692625109i,-19.7062135032404+45.5235707466568i,-50.6394941759893+1.41974000067772i,-46.7173051361579-70.9989752235151i,29.8068844424295-138.566161277963i
51.3673166006101-25.55341745213i,13.3109992523161-109.258446048787i,-107.396665196821-112.291126132163i,17.5637896897527+28.6517146106654i,-6.72627560031442+109.053254293932i,39.2468449687978+172.437820982644i,0.375442618649998-19.8019530559106i,85.8613952246063-20.0155329751607i,172.512497553614+55.3761543122946i,58.5705896068789+52.0544149763911i
48.6733352472667+80.2706929722764i,19.2787320064973+62.1719863667583i,89.3450173701024+1.71932548051393i,91.5740669728606-66.4759213474534i,-53.979044453065-174.110008521983i,11.651973924837-269.733824832817i,-30.5168820040808+66.0385363350921i,-53.3530008019702+19.5249567297864i,-76.0541809920091-41.6132410974433i,-19.4329352503857-162.529715546831i
18.5523121894004-18.047277387173i,23.8013819711997-80.3586875256898i,-99.3338430015457-89.4499707217853i,54.9063012345316+3.34024352561756i,15.3453236096119+63.4854617584742i,58.6885775678137+152.250665918467i,5.36116617872745-26.0335386880112i,48.3186572884386-24.0971566285671i,157.951759015495+40.3662346181265i,60.5202900896703+11.1195760714619i
104.462184576142+21.6324005933813i,-4.33586224633889+14.4670197599423i,33.5457125547253-26.7332321279166i,43.3032791075728-15.0355055332232i,-57.7153943193923-98.6341050460983i,0.6817758593935-210.483136244361i,-29.5701154376956+56.5892099215297i,12.6362556109982+1.78288001804786i,-26.7474165741209-52.8564566496934i,32.5083017354595-77.7258175586407i
-37.3786423121343+79.8968162106275i,55.2838663947957-27.7884699270422i,-12.1278828187531-67.4544146355386i,97.7893549831661-67.5113113196724i,-3.98651285004628-20.5754336915804i,54.0640233205812+66.711708516446i,2.16899791634331-1.69670179773744i,-27.8041234475877+14.446412760856i,91.5531483449497+75.3023457553028i,-42.8562687817788-89.5995082702698i
142.806219479657-97.220823016959i,-36.9085282716558-31.0924050554356i,-66.2336077718241-32.9025310068229i,15.9302280914515+54.3469837740619i,-23.9572337245117-25.921730305947i,15.6741246629279-121.009240188322i,-25.3013577777006+23.4598263320164i,78.5140347551537-50.0572372892793i,35.9547761544791-106.422484980058i,160.964260676345+6.51698631239215i
