-126.281719009223+60.9977291793228i,17.0976403885584-147.90513754516i,62.0220706107351-182.369763224229i,32.3462308527555+11.6809305425105i,-1.96348935335774+5.71095051285129i,6.33563658559805+7.93965444904815i,69.5443338499608-35.4478376308405i,98.7158160435012-8.84896322192271i,59.8453765763274-83.3457265496953i,-33.7518476374618+49.7465020679423i
140.548025976146+40.286757804596i,-97.9988160606046-57.600183662447i,50.8871463987151+11.2068970027236i,-26.6193026108978-105.514463215761i,11.8912285649754+85.2703223703939i,82.9637457534326+35.6938354663877i,-32.2704483046147+26.0909632099026i,-11.9533547558748+58.8678724069931i,-25.9137599714032-23.7584788951767i,-4.1906265100992+105.594952312321i
-84.5770850154905+22.4982221491275i,54.3961458620398+22.3390847773723i,21.0642606355267-85.1991030307517i,8.39132777352892+16.9371215018535i,92.9453940967891-96.4068919737394i,-44.0932312605872+6.95706731668404i,73.4925106415775-75.3074545991421i,-56.1162525656885-50.2819953402246i,-20.6964646946768-59.4248074987023i,-22.2769294140903+77.2831383041689i
48.3938539872795-49.8046708648353i,27.8759361351228-39.0985135727282i,130.474103637684-24.7212008101542i,-35.4934702090285-44.4576572264519i,15.4411150415645+10.4110815127045i,30.8939452692902+30.4867115312676i,12.2158405209786+6.15091981602972i,3.34558435162843+107.933156053683i,14.857596300414+7.666074340199i,21.558724006816+87.1660299030051i
33.6193028811079+90.3417414462373i,-79.0647106012202+29.0326468569319i,-54.843052442339-33.9336644716663i,6.73247333118741-46.1151261973496i,101.641289993953-14.0052707501458i,-2.66873918799999+1.22969458032972i,34.8734767785112-52.0560773673367i,-75.7983486425939-95.9630350324796i,-65.7397246638397-80.7488209196109i,-36.6829839593025+100.476828696516i
-64.7529939986198-80.1771903405286i,133.283102418251-68.1659305995301i,181.729677125845-82.6604492169167i,-27.143993837858+6.54313009525568i,-3.69517965986236-61.4637130859453i,12.3095309126022+40.843371092094i,35.9001721026376-14.3666091359225i,24.9973459139549+140.612032648059i,50.8516069012856+14.9251922862545i,26.661040244344+66.1428343267842i
111.225028947631+80.2423654792431i,-129.701785646217+66.5916789521232i,-73.6321031824084+11.4010814949802i,-4.55538281386806-72.8073272875585i,120.95097994679+25.9465695224964i,-10.4252114607232-5.83304594243454i,26.8565961098117-44.3378763406209i,-92.8538678690377-105.726070721768i,-85.006876562304-73.0181737540546i,-26.8106677174047+113.20000169946i
-84.1735542436054-41.2755219075417i,116.144198184852-95.8277342881368i,164.395041460598-104.722057028645i,-22.3456744004193+4.87872305488477i,-13.3717344944895-63.7228693002174i,44.8084205256692+36.4782842387298i,28.5818237402018-6.0384016084049i,33.0736035169874+127.225403915096i,45.7635659246427-2.30083510697172i,11.2256639164649+66.2068608613462i
66.3745516185532+31.7322502319687i,-51.2266735655719+66.7976484192163i,-31.8652875490935-1.24884905808273i,1.53693709938375-44.6317010203526i,109.741263991455-11.6951631760767i,-57.1497361993261+13.7479414774058i,41.5473535240078-71.4253533516521i,-87.5387758876946-70.9606362070428i,-58.3424837928857-52.4026183075037i,-5.98507706589276+99.9643532518825i
14.0218452206493-5.2916726587735i,-2.57021989145907-60.1407582260093i,110.183683448642-62.3009868641674i,-43.9125802415627-39.5558248779473i,21.384764341387-0.834475537441216i,93.9183416818232+2.35086334751581i,12.1846381747245+33.2533181554879i,16.0070968879115+81.4831959073472i,2.26303148815157-18.2066758005533i,-2.99404128300884+89.38875768834i
-58.2869925174149+23.1192042510216i,75.8844472386179-1.59341245206657i,15.5360774507791-65.8093964441323i,34.0925540947091+3.83627191251373i,53.37821391369-86.0388157364259i,-94.5305710319641+55.5032337417408i,50.965456047178-116.122742714768i,-62.3219107239708-22.7998856007694i,-11.4359814914561-44.760448112871i,2.82645137101651+73.4481695837414i
131.51403217507-28.9273592854183i,-107.231303109687+24.5625308736984i,79.0723775672811+2.89350156644793i,-81.9187725661718-77.989339043811i,86.6102259410299+63.1038566248387i,111.570172081769-37.3962398480104i,11.5356403798732+70.5991550646113i,-8.17165618899828+42.5285315148847i,-37.4523066849608-15.9499621678624i,0.860874044887802+111.554111581158i
