-0.874442157560341-0.485129789933803i,0.208176752732364+0.978091222546143i,0.298839169140561+0.954303489979671i,0.427392201974221+0.904066317087207i,-0.0652439975049268-0.997869340539921i,-0.788203976366343+0.615414081444587i,0.346663168276084+0.937989684250732i,0.0120929664526386-0.999926877407731i,0.553761294147407+0.832675464454303i,-0.942102280999681+0.335325650875679i
0.978927245760903-0.204209322771935i,0.975270656802105+0.221013904496507i,0.996697605356457-0.0812027307219619i,0.435399426124957-0.900237379656087i,-0.852286730222328+0.52307487942639i,-0.978955528533168-0.204073695400329i,0.981953674315323+0.189121605055153i,0.999850880223055-0.017268969777686i,0.758657351378747-0.651489848884067i,0.1964316932548-0.98051751125875i
0.977966823277812+0.2087603711625i,0.658765509255455-0.75234832611989i,-0.921659759841617+0.387999081298774i,0.539165844953587-0.842199615076785i,0.373778634561834+0.927517941791473i,-0.553528245100653+0.832830404029411i,0.973347751654277-0.229334154345933i,0.798293305848115-0.602268875036796i,0.958779720442264-0.284150396214142i,0.0304357991707536+0.999536723751978i
0.619353016008637+0.78511262985702i,-0.0405991163863648+0.99917551598738i,0.826992977548375+0.562212250921013i,0.309393817683775+0.950933996436692i,-0.53618369089366+0.844101326630667i,-0.367893992958992-0.929867737877108i,-0.300304836091822-0.953843281372713i,-0.998766326085568-0.0496570828536728i,-0.863427582366892-0.504472804032153i,-0.998710233453562+0.0507727249134038i
-0.645581508750254+0.763691374548479i,0.664382004825514-0.747393170736815i,-0.769839546738921-0.638237473262745i,0.224490080583449-0.974476374120808i,0.866918483604225+0.498449940099657i,-0.825214599974469+0.564819319773126i,-0.0314970235984805-0.999503845667658i,-0.982690835836111+0.185253127271108i,0.969301558325258+0.24587494591403i,-0.563469931167531-0.826136572650102i
-0.445454764118728-0.895304447170865i,0.980697951738157+0.195528840472663i,-0.688396894964655+0.725334209177412i,-0.457783485859203-0.889063709795084i,0.797802476752766+0.602918906725566i,0.936138050098565-0.351632693527859i,-0.376120539538368-0.926570741895818i,-0.629227224657224+0.777221396868464i,-0.490775428002394-0.87128610643638i,0.837626185266439+0.546243877545546i
-0.945304881967473+0.32618810543682i,0.997773955774779+0.0666868291160148i,-0.80755017965254-0.589798870245739i,-0.999674410252386+0.025516141686066i,0.629909740323678-0.776668345592478i,0.566643729289017-0.823962914248836i,0.974550223702106+0.22416926970969i,-0.089919265832338-0.995949057749528i,-0.991480526731772-0.130255000332763i,-0.997154042530446+0.0753910834594429i
-0.744006990142147-0.668171833153436i,0.667354106275042-0.74474055672955i,-0.990861818976563+0.134880894475302i,0.0569800226120453+0.99837531871693i,0.96667532615572+0.256005495647519i,0.993949504551079+0.109837982513628i,-0.463189072311726-0.886259489817177i,-0.537561559668832-0.843224507214071i,-0.992410963413305-0.122965359744423i,-0.598843969003905-0.800865719573294i
0.911438227324523+0.411436942643136i,0.195258610143141+0.980751790803855i,0.906199670290981+0.42285004146212i,-0.625356882703214-0.780338881035489i,0.612579649423611+0.790408864520158i,0.181929018624839-0.983311665842627i,-0.878585489601066-0.477585110176664i,0.884714011182863-0.466134227896568i,-0.238651707022677+0.971105227426545i,-0.846046842419454+0.53310856345783i
0.737290679322608-0.675575646529689i,0.970903663808656+0.239470406528505i,0.745467489559188-0.666541988182531i,0.83843062392784-0.545008338339858i,-0.325189752745914-0.945648785072477i,0.793968226943621+0.607959254065601i,-0.980809250518343-0.194969777395488i,-0.606585480073527+0.795018273603802i,-0.94337402628582+0.331730985181188i,0.596633860828761+0.802513573787115i
-0.0750830162362415-0.997177286480628i,-0.388875654688826+0.921290250241658i,0.692079129327579+0.721821639152762i,-0.973309425760699-0.229496757548726i,-0.653138063841046-0.757238845782471i,-0.344780538527644+0.938683322666696i,0.486406720218829+0.873732512000075i,-0.60856791405543+0.793501792047266i,-0.254843817026324+0.966982227821925i,-0.64660825648876-0.76282223528196i
-0.744190571862365+0.667967359046208i,-0.990444441699859+0.13791231963046i,-0.894384176422883+0.44729961431278i,0.985351724833414-0.170534390572152i,0.897479778960373-0.44105560460926i,-0.292443553409482+0.956282786663671i,0.965641094685002+0.259879349421131i,0.177299615446463-0.98415692161491i,0.655674655603881+0.755043539141109i,0.94116347758301+0.337951636279298i
0.615213443398571+0.788360589490414i,-0.724396746879295-0.689383313629431i,-0.813542606481069+0.581505311618036i,-0.816787900673686-0.57693806020497i,-0.609467592335305+0.792810982449794i,-0.834784283317067+0.550577152020324i,0.926752824312871+0.375671668652451i,-0.153212962485151+0.988193193726067i,0.722799858934204+0.691057424476935i,-0.614059927369677-0.789259403237457i
-0.816090734935692+0.577923794588977i,0.295267095405046+0.955414748876668i,-0.792174939608873-0.610294080796855i,-0.981688034701256+0.190495675867944i,0.136708857570544+0.990611270005423i,-0.250706067120073-0.968063256150746i,-0.897113292941707-0.441800565444735i,-0.487997379822245+0.872845093522684i,-0.514520840532937+0.857477874150278i,0.936711414654388-0.350102450228751i
0.99871848232164-0.0506102071637786i,0.0252674918162758-0.999680725960701i,0.928979045425956+0.370132318447715i,-0.654044912162061+0.756455717722407i,-0.183401643795715-0.983038064905439i,0.244864369281643-0.969557342634412i,-0.540543690983114-0.841315944302943i,0.620313771521032+0.784353762572319i,-0.355205253101928+0.934788333350815i,0.872622607808038-0.488395110891069i
-0.567876335946192+0.823113884630995i,-0.850494117238921-0.525984559223927i,-0.556500383450946-0.830847352537727i,0.480593910874577-0.876943266597264i,-0.347030884665882+0.937853701324474i,0.0225147606602568+0.99974651064778i,0.864070905771204-0.503370112143869i,-0.766203286441515+0.642598260070957i,-0.998585178542493+0.053175569533922i,-0.683874901235819-0.729599286910081i
0.82694284658133+0.562285984609227i,0.73024614331462-0.683184140751323i,-0.00434669453179999-0.999990553078701i,-0.359070151152445+0.933310573470246i,-0.991268940363159+0.1318555568465i,0.836430376562042+0.548073193254588i,0.975356228478937+0.220635961636683i,-0.904154950159127+0.427204665356953i,-0.0344334616059414+0.999406992531988i,0.618931999497547-0.785444574746028i
-0.904267635355541-0.426966091918899i,-0.634275556113238+0.773107055275816i,0.820638557747657+0.571447598243133i,0.99523095206338+0.0975466660374272i,-0.984890687104832+0.173177176481697i,-0.0616830080409751+0.998095790252127i,0.729611984962234+0.683861353930363i,-0.212138052309742+0.977239707933642i,0.885254768295256-0.465106434281997i,-0.716672571216985-0.697409797511646i
0.152389285062377-0.988320548100755i,0.561445339971771+0.827513824793267i,0.977098498127974+0.212787511278404i,-0.798463673991119+0.602042989591777i,0.920917910323004-0.389756593845841i,-0.775325045480525+0.631562406932697i,0.947234608298796+0.320541100080826i,0.294360388390219-0.955694491847033i,0.964762064759859+0.263123846126294i,0.79311406426892-0.609073132767187i
0.220691188838991+0.975343733854292i,-0.0924645320247724-0.99571597873964i,-0.933527981116923+0.358504544562215i,-0.99015126071366-0.140001717514998i,0.156620274448493+0.987658893359281i,0.994998778038488-0.0998870947716213i,-0.735179269354707-0.677872732827541i,-0.187313109829684-0.982300259027724i,-0.788762370976606+0.614698236642471i,0.999302711237519+0.0373375322342387i
0.418967154903296+0.908001389377923i,-0.162559435661552-0.986698753357578i,-0.951082578535632-0.308936771534264i,-0.806801061132836-0.590823195004165i,-0.501274438532766+0.865288354985585i,-0.978556915797817-0.205976606788887i,0.571502307546096+0.820600458487252i,-0.776073585947868-0.630642362352877i,0.463201416766308-0.886253038079806i,0.996502682106258-0.0835607835951377i
-0.563092431207862-0.8263939217567i,0.762400306738226-0.647105688651753i,-0.44988430804978+0.89308684312925i,-0.999420462130927+0.0340402684185022i,0.977489671868729+0.210983272772903i,0.482242834203228+0.876037584159286i,-0.355568145349575-0.934650359232084i,-0.611476709785203-0.791262430164773i,0.864612814333947+0.50243873386666i,-0.4035009348848-0.914979232303713i
