-0.912849649487496-0.408295869965097i,0.935458990979877-0.353435250356993i,0.857156430598937-0.515056165367322i,0.913109833222834+0.407713664808733i,0.0668745025059242-0.997761394780628i,-0.640803206799901+0.767705184400212i,-0.941536036082165-0.336912292382875i,-0.465283532600289+0.885161699516533i,-0.501657154247457-0.865066528997824i,0.10415605159137-0.994560966918014i
-0.866689036948958-0.498848787943288i,0.20244419590938+0.979293800420795i,-0.65879740762564+0.752320394317299i,0.642904716226213+0.765946163809241i,-0.76500607534055-0.644023062236166i,-0.953212548920299+0.302300904035808i,-0.373258367587647-0.927727433584781i,-0.490332311483595+0.871535555393556i,-0.759893547944684+0.650047533486622i,-0.999727580760936+0.0233401856437883i
0.912292611069662-0.409538999104724i,-0.611005610806861-0.791626265078752i,0.703245256203057-0.71094733252745i,0.990872866329779+0.134799713543495i,-0.832411987007324-0.554157273602466i,-0.274780237461608-0.961507057228673i,-0.998090519826475-0.0617682299610118i,-0.193096180678204+0.981179833163875i,0.856183232922172+0.516672305879596i,-0.966052224540876-0.258346858815091i
0.696691644453934-0.717370721836397i,-0.520087980255973+0.854112693263168i,0.848431444686607+0.529305283996861i,-0.40872557483175-0.912657331356328i,0.839854861881995+0.542811026945082i,0.0355220410886634-0.99936889315052i,-0.348535451360522-0.937295598594657i,-0.914208730975731-0.405243625745974i,0.999654933060519-0.0262681329326961i,0.17700118122036+0.984210638962309i
0.480190079119921-0.87716445887576i,0.863233574933952+0.504804709869817i,0.933736385253168-0.357961398553459i,-0.184431697980758+0.982845333091598i,-0.13922147034982-0.990261269662524i,-0.749329486492801+0.662197342695087i,0.868409131099144+0.495848344782586i,0.282956560490747+0.959132725369772i,-0.0796054540263915+0.996826450135254i,-0.229780675406294+0.973242437016506i
-0.157762479999297-0.98747708829343i,0.413103113672855+0.910684257837914i,-0.783947756749923+0.620826799265917i,0.643752282587984+0.765233950281063i,0.458284153532963-0.888805735029076i,0.584005267270016+0.81174986775538i,0.865109750976868+0.501582614097359i,0.777600024417023+0.628759256016677i,0.0328133095839669-0.999461498365068i,0.0325319081267628+0.999470697396193i
-0.946922253021306+0.321462667712836i,0.118249817822686+0.992983877303605i,0.809848145536349-0.586639566660259i,-0.169014417889089-0.985613578714098i,0.873521323172855-0.486785885130562i,0.999871191966781-0.0160499057607653i,0.992375428551597+0.123251810562902i,-0.980412522822368-0.19695503317529i,-0.966378583247247+0.257123382524896i,-0.827862688686084+0.560930805609254i
-0.653467737234851-0.756954368765491i,0.394406803672507-0.918935946199101i,0.965082700976224+0.261945376512806i,-0.481353748517775+0.876526422184686i,0.43394548113132-0.900939131909424i,0.726173018187177-0.68751199819125i,-0.448485522903655-0.89379009602134i,0.999044647837541+0.0437011627667142i,0.45800245517043+0.888950927249563i,0.611690874368282-0.791096880422725i
0.0395671697206025+0.999216912927469i,0.260166797420616+0.965563689002388i,0.998985815063361-0.0450260069536642i,0.304481229400141-0.952518336276514i,-0.707942095004267+0.706270479434734i,-0.198331029691815-0.980135094087231i,-0.999846818903985+0.0175025348901647i,0.993167969262962+0.116693550936138i,0.99644718104965-0.0842200414284325i,0.0469989136296048-0.998894940480548i
0.618979917046356+0.785406813246031i,-0.28353676165387-0.958961367725956i,-0.961118079820834+0.276137713182231i,-0.299398318455708-0.954128213033183i,-0.791789903861358+0.610793539703247i,0.77621271491944+0.630471110517677i,0.99999808201158+0.0019585640557575i,0.519146616462753-0.854685199716992i,0.624300257341254+0.781184478009928i,0.507411485225474-0.86170388455738i
0.870087966268207-0.492896470828566i,0.615356000781687+0.788249321155413i,0.988060746894162+0.154064793015635i,0.431323111862787+0.902197524477318i,-0.758146125314014-0.65208469746755i,-0.0632559622571157+0.997997336288493i,0.994797723943621+0.101869958459746i,0.791004126184593+0.611810814189279i,0.846976281660093-0.531630678483891i,-0.380800953098546-0.924657035943186i
0.148592017574359-0.988898585454131i,0.884121214447022-0.467257614346437i,0.606795869501443-0.794857705980126i,0.00587474550230809-0.999982743533749i,-0.742023721263166-0.670373624990395i,0.270909885431427-0.962604713252294i,0.996546735990989-0.0830337460657146i,-0.105680322272331-0.994400155613632i,-0.975723930518432-0.219004135608581i,0.875873191462661+0.482541347945452i
-0.849611076974959+0.527409724864314i,-0.984155536145117-0.177307305757315i,-0.45510628647549+0.890437121873571i,-0.472790989810345-0.881174602422331i,0.895744083514383+0.444570058426092i,0.235720530965194-0.971820884361664i,-0.604982633598516+0.796238665881156i,-0.120531744686863-0.992709473372114i,0.711009174575415-0.703182731350527i,-0.715343923117215+0.698772546440738i
-0.749243907180848-0.662294169951977i,0.955875886862214-0.293770810182658i,0.282202361639572+0.959354901527609i,-0.191310846580858-0.981529500310875i,0.334999713115427-0.942218229611687i,-0.716627537442213+0.697456072150432i,-0.986599935301458+0.163158106336029i,-0.96150729120303+0.274779418740581i,0.936646017256181+0.350277373460139i,0.952766688749846-0.303703205133983i
0.520891703452957+0.853622769889532i,-0.810831637615248+0.585279467811895i,0.725914140121824-0.687785330732775i,-0.946428874922224+0.322912348344645i,-0.521189203666498+0.853441160233956i,0.842184013538127-0.539190214433471i,-0.999884524449209-0.0151966366995668i,0.595258851728254-0.803534006398709i,0.267167263217497+0.963650171724611i,-0.940024192061515+0.341107781117781i
0.855096999620505-0.518468052284816i,-0.447150155861669+0.894458908006894i,0.533186184727253+0.845997926957268i,0.838711107408327+0.544576604629594i,0.0373186661580137+0.999303415963433i,0.954113097951539-0.299446483227498i,-0.852115521208934-0.523353741282917i,0.970741250288554-0.240127934626973i,-0.954578436263102-0.297959743961312i,0.195968397340113-0.980610211676356i
0.738161247743478+0.674624319402874i,0.334034087928316-0.942560994366889i,0.998996098812606+0.0447972605992089i,0.996121438850936+0.0879890849000037i,-0.553892323459645+0.832588310038326i,-0.308010946634622-0.951382812937696i,-0.294350408541583+0.955697565651081i,-0.319652832467681+0.947534731128832i,-0.689058493378218+0.724705728350025i,-0.972232141335023-0.234018510710404i
-0.865768167428929-0.500445281990702i,-0.320041893936725-0.947403391447061i,-0.67485200012749+0.73795310008423i,-0.24375860841125-0.969835935004169i,-0.725175988800543-0.688563566613247i,0.845925318847213+0.533301373458986i,-0.600264372203745-0.799801652575714i,0.183378156165933-0.98304244661214i,0.534183064237368-0.845368827129305i,-0.0587677994480956+0.998271679327841i
0.755996789708672-0.654575323358727i,-0.924691586077276+0.380717048000075i,-0.131792692310949-0.991277300382406i,-0.960922077327465+0.276819004594461i,-0.0536429575396208-0.998560180012403i,0.767137401467489-0.641482819153958i,-0.0221441527458811-0.999754788185166i,0.627869889647391-0.778318316419556i,0.382159502639735+0.924096377301713i,0.688357850597938+0.725371263230208i
-0.428325517506909+0.903624507775458i,-0.850329789265145+0.526250177661057i,0.282701919630477-0.959207810975934i,-0.955776200678339+0.294094974824254i,-0.160672324182149-0.98700780353648i,0.935840407103594-0.352424080380697i,-0.958729784259583-0.284318836473373i,0.0572668348874679+0.99835890821987i,0.850969336345966-0.52521537353633i,0.00444643547711997-0.999990114556913i
