-0.803050392784852+0.595911123111572i,0.605109993628171+0.796141881583499i,-0.997862946702009-0.0653417140820668i,0.780434449223707-0.625237611204643i,0.695518184465712+0.71850849339275i,0.919803048499556-0.392380366444249i,-0.999826129201627+0.018647020289884i,-0.989402622036952+0.145197973492764i,-0.945910259235608+0.32442839190309i,-0.621000252703412-0.783810363635426i
-0.358647495260655-0.933473070925594i,0.309645433642977+0.950852094399572i,-0.781772884281981-0.623563274577193i,0.129226414260912-0.991615113770089i,0.35861525015443+0.933485459102966i,0.582024776013384+0.81317105218187i,0.361664896876141+0.932308158479572i,-0.889112911454507-0.457687918438853i,0.305884306815752+0.952068690191967i,0.858278574228272-0.513184069336417i
-0.839113975651995+0.543955637773434i,0.859280451866887-0.511504745862087i,-0.0699942481467676+0.997547394977486i,-0.000977968500239378-0.999999521788692i,0.361725693994931+0.932284571525178i,-0.255195725205668+0.966889415515939i,-0.0899101412747642+0.995949881518117i,0.991827992721243-0.127582259168546i,0.995999557452176-0.0893581644566964i,-0.813976987018188+0.580897120499657i
0.994512491580051-0.104617895654806i,0.891173352181089+0.453662932541685i,-0.999371100532623-0.0354598846615855i,0.330090038915505+0.943949451087695i,-0.989935411240722-0.141519898147446i,0.146225155948129+0.989251334984161i,-0.626066485822326+0.779769680950781i,-0.908718317064218-0.417409894746131i,0.947553705368887-0.319596582337314i,0.549190842215636-0.835696965907188i
0.999722763310635+0.0235456263146469i,0.868572266618187-0.495562526490598i,-0.938247407899301-0.345965029403612i,0.751844582648192+0.659340370023378i,0.251341540276455+0.967898460651457i,-0.410044510596382-0.912065512630411i,-0.902541798009765+0.43060225596866i,-0.992849031857628+0.119376714393433i,-0.679502872812781-0.733672846600702i,-0.90530858788231+0.424754471084812i
0.269396287227117-0.963029407873012i,0.0753547288025483-0.997156790503427i,0.770474908172122-0.637470325487516i,-0.130348503487245+0.991468238340813i,0.989134168190553+0.147015636304384i,0.405988558141211+0.91387815963531i,0.506393718824737-0.862302384047993i,0.952128395854073-0.305698409888489i,0.923776676104742+0.382931655370608i,0.86367891102123+0.504042397678194i
0.729641061719576-0.683830330603089i,-0.489788395846974-0.871841342959628i,-0.294589243720326-0.955623972849303i,-0.184600023692181+0.982813731717687i,0.860431977286383+0.509565317170474i,0.620600982800343+0.784126533250373i,-0.731444201789863-0.68190129759958i,0.91960996598311-0.392832674894215i,0.914689132868699-0.40415812525781i,-0.344058808405612-0.93894810099308i
0.569640435809946-0.821894016215141i,0.69146478474695+0.722410168432626i,-0.249674651943765-0.968329782758312i,0.412196472776076-0.911094982881018i,-0.382941839146941-0.923772454574588i,-0.288536713182398-0.957468832467093i,0.561834712754007-0.827249512266174i,0.727112657066068-0.686518159945039i,-0.68034934039212-0.732887968947511i,0.999730995363437-0.0231934669601347i
0.949856181080181+0.312687120399568i,-0.501154010213599-0.865358109713446i,0.977304190048483-0.211840789541767i,-0.999713493200789-0.0239359878065539i,0.352808343694132-0.935695608956141i,-0.980366817383515-0.197182411419775i,0.992184962698702+0.124775798112353i,0.363347719919217-0.931653602166334i,0.92993881951797-0.367714280323085i,-0.402281619801138-0.915515973847629i
0.740062029726514+0.672538617595356i,-0.00502432716159344-0.999987377988629i,-0.679350709646256-0.733813745648805i,-0.990459185443645-0.137806393067631i,-0.805717074395004-0.592300596005403i,0.224664767884315+0.974436114925697i,-0.478181035301254-0.878261292257732i,-0.476639892962542-0.879098636352404i,-0.833776528505932+0.552102074359983i,0.859351546102601-0.511385295262846i
0.840223308438667+0.542240529614285i,0.336565540881264+0.941660043057632i,-0.277366007151739-0.960764330143819i,0.760950160486938+0.648810336889682i,0.59063447834485-0.806939225090903i,0.447993176189763+0.894036975794294i,0.940405711632293-0.340054550814072i,0.610024581263423-0.792382489871139i,-0.97746616549975+0.211092148843141i,0.99897353199337+0.0452977082940254i
0.947459570411852-0.319875542101907i,0.0199918945794238-0.999800142103973i,-0.451129395946544+0.892458552602252i,-0.63055797072201+0.776142155509505i,0.674024947433921+0.738708582755541i,-0.87382845716035+0.486234333893404i,-0.62131970031285+0.783557164476945i,0.234308951755677-0.972162185608531i,0.996098029864579-0.0882536962393347i,0.998276775067603-0.0586811755218449i
-0.555520137206978+0.831503083071579i,-0.488756548997167+0.872420217448209i,-0.289405858007038+0.957206482087961i,0.987439515491991+0.157997478603114i,-0.749942052147326-0.66150352865352i,-0.465101068793739-0.885257587263121i,0.589038152118704-0.808105225418437i,-0.64763237552441-0.761952955353944i,-0.919656874405456-0.392722845476026i,-0.787843276279433+0.615875776452759i
-0.971868600610907-0.23552372098495i,-0.279269069429684+0.960212886218404i,-0.402609327644023-0.915371907638653i,0.133513752693743+0.991046960462336i,0.987085969472079-0.160191413226072i,0.419190957813394-0.907898089483335i,-0.577265884835224+0.816556243136629i,-0.349334016873718+0.936998262887863i,-0.153897377544493-0.988086836864517i,0.193462681704064+0.981107634659864i
0.852840748517175+0.522171099993733i,-0.972266254393559-0.233876742254374i,-0.997319748288457-0.0731663834957586i,0.562158775772282-0.827029328876679i,0.0838685329005435+0.996476828224877i,0.627915267121651-0.778281708197967i,0.379866058672813-0.925041500403297i,0.278124337390091-0.960545081165545i,-0.723120864780142-0.690721517631831i,-0.559649402476618+0.828729477156185i
-0.995799519633833-0.0915604537834284i,0.925546298966046-0.378634452302289i,0.977425274176732-0.211281408080645i,-0.765777807180832+0.643105240244018i,-0.1703667103383+0.985380730483657i,0.925586713525926-0.37853564659656i,-0.847738014110769+0.530415176471724i,0.0886340621966667-0.996064256470695i,-0.671416300526164-0.741080394685867i,-0.264992796531262+0.964250391644484i
-0.845071410030247-0.534653450329735i,-0.619159232550197+0.785265461323654i,0.447081432877251+0.894493260106762i,-0.949895405923479+0.31256794110316i,-0.116376989122558-0.993205112956416i,-0.782518763929471-0.622627002384488i,-0.340320490814775+0.940309504116379i,-0.940202539669305-0.340615889822229i,-0.0839895643648672-0.996466634201969i,-0.723246456819743+0.690590010568997i
-0.25099246047282+0.967989041666175i,-0.968214960290787-0.2501195527525i,0.303081450136856+0.952964655474137i,-0.983698881206874-0.179823555499118i,0.539247149541185+0.842147559345574i,-0.8427893286751+0.538243576340094i,-0.999202389727962+0.0399322471435101i,0.521698822890998+0.853129731162938i,0.786919129936327+0.617056142454035i,-0.703630765739892+0.710565792523319i
-0.715437533296574-0.698676703454834i,0.984599765267708+0.174823631797235i,-0.682879365665235+0.730531157411268i,0.481731852197063-0.876318676383647i,-0.384868233901578-0.922971528560594i,-0.629740683419197+0.776805427148087i,0.242698913353298-0.970101663464778i,-0.882634468198439+0.470059991435199i,0.845251283879313+0.534369036434909i,0.70916588006076-0.705041668667639i
0.767671387592058+0.640843694415795i,-0.718868312107428-0.69514627946053i,-0.0403556774307412-0.999185377844925i,0.123709649475331-0.992318458271683i,0.796351206311676+0.604834486620876i,0.0374638030149391+0.999297985319523i,0.98924865947029-0.146243255352969i,-0.472080634585482+0.881555372310423i,0.204638756563402-0.97883756533563i,-0.765998913190893+0.642841866239568i
