0.99160619883637-0.12929480433987i,-0.213156870766302-0.977017987779712i,-0.849575354698232-0.527467265988491i,0.949103147685143-0.314965418822691i,0.26571970310673-0.964050330315213i,0.980851390992274-0.194757666828604i,0.817084409803032+0.576518054580107i,0.356468467858558+0.934307353830939i,-0.622912830645919+0.782291253572919i,0.844482194781073-0.535583628108385i
0.885029258561067+0.465535403047768i,0.0601062287490195-0.998191986175791i,0.256576435848325-0.966523943090584i,0.98083950033109+0.194817541792974i,0.245185051800846-0.969476296963168i,-0.197202503135138-0.980362776097316i,-0.250706878614249+0.968063045992099i,-0.900511990761743-0.434831179303327i,0.982626970511073+0.185591586081457i,-0.88226363822253-0.470755640083414i
0.996984300203869+0.0776035124656254i,0.996234504578698-0.0866995495192201i,-0.464902880889822+0.885361683912481i,0.874088174916818-0.485767292508035i,0.246859344129382+0.969051321765783i,0.84585804918602+0.533408062019332i,-0.885348713942024-0.464927580082322i,-0.0766960452126624+0.99705452039933i,0.524863723452454+0.851186273270209i,-0.997654319197873+0.0684533372877431i
0.660256490861269-0.751040189520883i,0.963129070946474+0.269039760440314i,-0.657709511016388-0.753271663557434i,0.8278153691972+0.561000636827538i,-0.773245868200897-0.634106321771232i,-0.811267109556179+0.584675702378988i,0.572936977026413+0.819599426766414i,0.997318731582339+0.0731802407415774i,0.721812298786885+0.692088870969612i,-0.848268632518157-0.529566168751154i
-0.995039049074593+0.0994851286209686i,0.892160193126613-0.451719149251262i,0.66677268730636+0.745261151182762i,-0.669182490216602+0.743098105762292i,0.0778890897187426-0.996962030221204i,-0.586082177648791+0.810251615883887i,-0.992175230862156-0.124853158805165i,-0.94193285912846+0.335801263985241i,0.230580280117838+0.973053305025362i,-0.934692057795389-0.355458516699519i
0.899238501085822-0.437458704525265i,0.761421322547372+0.648257332831809i,0.805114862140848+0.593118924634785i,0.579444801543456+0.815011485786713i,-0.921609683977353+0.388118010918281i,0.997041796148482+0.0768612824054466i,0.997969706517162-0.0636903829007868i,0.678137800138758-0.734934775352865i,-0.117353352511166-0.993090222816834i,0.816451684295687-0.577413757379174i
0.903714033380621+0.428136597210434i,0.985441838543209+0.170012890242416i,0.638409322568152+0.769697042256285i,0.748368817759322+0.663282830024655i,-0.90148471030141-0.432810948443755i,0.981116281239095+0.193418827127993i,-0.0371535333900815-0.999309569130924i,-0.568234161119962-0.822866901835463i,-0.894554298880155+0.446959289371006i,0.121942385444005+0.992537180478508i
-0.854366377049007+0.519671140018526i,-0.960526947577101+0.27818695688011i,-0.997357864419067+0.0726449604682733i,0.140838464934926+0.990032588753913i,0.1801865726934-0.983632451183371i,-0.313487363639894-0.949592371935511i,-0.999350154581505+0.0360453677734256i,0.820669771095253+0.571402771090992i,0.166438956199558-0.986051760233306i,0.781130059015604-0.62436834553193i
0.975651246449366+0.219327712115451i,-0.995859450358828+0.0909062986322312i,0.520519018270416+0.853850075609766i,-0.71357760611426-0.70057619146831i,-0.106591254555844+0.994302923887993i,-0.991685509233481-0.128685083736739i,-0.318908147776244-0.947785626226693i,0.735765032519078+0.677236898671507i,-0.957498714361324-0.288437535692584i,-0.968742586189362-0.248068139234256i
-0.924876279014454-0.380268153434359i,0.972324059097172+0.233636307325721i,0.967608168199308-0.252456793994498i,0.184971384937013+0.982743907004507i,-0.778558746418572-0.62757173165714i,-0.878811798507304+0.477168547584978i,-0.417285832995338+0.908775293227862i,0.701361305410114-0.712805947838134i,-0.129697829143051+0.991553565429312i,0.373638771004173+0.927574292874965i
0.909670261306997-0.41533121203885i,0.153642966695212+0.988126428542974i,0.383704340648479-0.923455997309843i,-0.675186625691763+0.737646948402128i,-0.879837555611301+0.475274526706334i,0.533254457349924+0.845954894611077i,-0.998581639526646-0.0532419871931533i,0.944535223181083+0.328410127995867i,0.594289071985195-0.80425151471351i,0.789383130852485-0.613900865552028i
-0.526329158797355-0.850280904524892i,0.705878110219206-0.708333320911393i,-0.892303559968083-0.451435883452219i,-0.999691605195379-0.0248333344899015i,-0.831928959283518-0.554882155692037i,0.41018413092453-0.912002729567016i,0.982251287789045+0.187569740727985i,0.975328968944055-0.220756432156633i,-0.111557368411345+0.993757995466268i,-0.268063205208766+0.963401327595724i
-0.991979845072991-0.126396150926225i,0.966588447832045-0.256333323072984i,-0.405212006401876+0.914222746308451i,0.508980926074905+0.860777797629523i,0.941153092741244+0.337980555688624i,0.679538860587041-0.733639514306628i,0.584447608616447-0.811431446754756i,-0.66341834011156+0.748248692617382i,0.321575639848882-0.946883893545445i,0.988665700548417+0.150133715597488i
-0.0311226765373255+0.999515572167414i,-0.13041104468787-0.991460014031538i,-0.19150615563523-0.981491412266972i,-0.753121182131918-0.657881816912599i,0.918459856598602+0.395514211902525i,-0.999609116059375+0.0279573799021658i,0.913766956008942-0.40623878459122i,0.991655242500495-0.128918113627546i,-0.625833079207733+0.779957022514297i,-0.702702888980228+0.711483414999142i
-0.550063536357397-0.835122808914949i,0.979648125092216-0.200722572231688i,0.954510109011638+0.298178556899369i,-0.0810774997151775-0.996707800230306i,0.930722975971817-0.365724954027156i,0.807878520960432+0.589349043751481i,0.104858187553937-0.994487184685104i,-0.502362917897237+0.864656867619621i,0.36061057627132+0.932716469395317i,-0.974179719160677-0.225773946185169i
0.172540300397555+0.985002459255164i,-0.147744204340752+0.989025606384242i,0.46288538844324-0.886418139009887i,-0.985293618636023+0.170869789825855i,0.952244711720694-0.305335895367662i,-0.596231122673372-0.802812835196131i,-0.864375739516397+0.502846478495656i,-0.999191246114648+0.040210119222107i,0.998921451257799+0.0464320386911192i,-0.999877218829053-0.0156699478836992i
0.851331402165315+0.524628290971082i,-0.26011995785619+0.965576308493997i,-0.148966722066787+0.988842209716331i,0.620875632260172-0.783909082270088i,0.960487803446758-0.278322078588856i,-0.7887080990153+0.614767870458168i,0.83575431312213-0.549103567733589i,0.759091478592825-0.650983968410712i,-0.984590359025016-0.174876599106314i,0.233079054947326-0.972457790418104i
-0.124328774453094+0.992241077482177i,0.912712285619007-0.408602843455755i,0.77802681218622-0.628231071755726i,0.40444717244661-0.914561361910693i,-0.714658600470016+0.699473433930295i,0.903731909736904+0.428098861623444i,-0.492883929805522-0.870095070517852i,0.910823903105152-0.412795127796218i,-0.123012811059135+0.992405082773829i,-0.363198366203404-0.931711836775286i
-0.987457523377468-0.157884893277467i,-0.609199615915929-0.793016915310061i,0.981028821997757+0.193861936464312i,-0.560680904331444+0.828031958029444i,0.695392024985165-0.718630594663929i,-0.169823165593752-0.985474551892497i,-0.808996343657014+0.587813674517345i,0.979667981680886+0.200625635623414i,-0.809234511003423+0.587485749785517i,-0.212016325372827+0.977266124336357i
-0.861196807474869-0.508271638786872i,-0.870535679414725-0.492105304651294i,0.534485628404005+0.845177563018314i,-0.680134924397525+0.733086955698144i,-0.935763804500315+0.352627426878704i,0.703704672291333-0.710492599676695i,-0.929337133561957+0.369232301109809i,-0.392346509670128-0.919817490782638i,0.254117504229362-0.967173352633456i,0.629738503955594-0.776807193990742i
