-0.919016964433237-0.394217984221823i,0.760246388555978+0.649634842575114i,0.984445436845387+0.175690585616574i,-0.593671202374342-0.804707713068169i,0.381714259276467+0.9242803818458i,-0.9381546803999+0.346216400021377i,0.878083156536324-0.478508067024168i,0.284000486585738+0.958824135918086i,-0.14863193136691+0.988892587179286i,-0.355489952728645-0.934680102232301i
0.926994939592355+0.375073835358008i,0.297492755936056+0.954724075409i,0.734296853606935+0.678828498799921i,0.0254290307750234-0.999676629912815i,0.940687901681447-0.339273151944205i,0.234444230757119+0.972129570923909i,-0.857708914788051+0.51413560224235i,0.786981249879163-0.616976913943002i,0.0468423517709605-0.998902294561668i,0.456125915757942+0.889915248197253i
-0.897545162465946+0.440922534391222i,-0.905778348683815+0.423751794162127i,-0.994955509738267+0.100317165238384i,0.406657362472621-0.913580751519433i,0.46129181565837+0.887248477489031i,-0.838438969809698+0.544995498976325i,-0.956060464952574-0.293169553935378i,0.999365826296478+0.0356082185844463i,-0.345870538309791+0.938282244705342i,0.0950971682373987+0.99546799476087i
-0.990353503643357-0.138563840237368i,-0.559677573981353-0.828710451956742i,0.518032692046822-0.855360818585188i,-0.690461050471408-0.72336957205976i,-0.694386417792051-0.719602322665737i,0.949666710219732+0.313262093941209i,-0.807908033422453-0.589308585998426i,0.947598669239445+0.319463240538927i,-0.74638339591098+0.665516210402416i,0.125773436717514+0.992058991500135i
-0.328295557724078-0.944575050897829i,-0.455906362430154+0.890027746025766i,-0.967429846375728-0.25313927459293i,0.939396607814182-0.342832339821098i,-0.592835282173668-0.805323741243276i,-0.708213847394558+0.705997979004613i,0.741242153895389-0.671237714441407i,-0.959138482171687+0.282937046032138i,0.81940261272363-0.57321842107672i,0.919146688254395+0.393915429338554i
0.582176052815943+0.813062754975068i,0.811525928920016-0.584316409739198i,-0.998037131606096-0.062624946590613i,0.811279435630914+0.584658598946758i,0.222903826431998+0.974840440360356i,0.920370242834134-0.391048099478104i,0.930116267621578+0.367265202143771i,0.482389391206368+0.875956891206154i,0.562987702971429-0.82646527229095i,-0.236267678133573-0.971688007680125i
0.358455399766258-0.933546852803014i,-0.855269464558661+0.518183503204744i,0.999217338224377-0.0395564279452936i,-0.530431825667218+0.847727596766403i,-0.729520736013571-0.683958694459116i,0.461111189046754+0.887342364217943i,0.887608833900961-0.460598043831035i,0.421519303434514-0.906819429011136i,-0.635920549109867+0.771754530417416i,0.732975775090518+0.680254741350955i
-0.284665739277555+0.958626839224504i,0.0763310059700987+0.997082532956822i,-0.830394733852824+0.557175543244226i,0.1605817044795+0.987022551001981i,-0.971504860745023-0.237019631146436i,-0.922737889610337-0.385428056941191i,-0.610356407199645-0.79212691924359i,-0.996696551679086+0.0812156627198178i,0.144064007897906+0.989568371376325i,-0.252914446822955-0.967488647265816i
-0.93747506749881-0.348052435443427i,0.995751810372341-0.0920778591204554i,0.649838165937874-0.760072600539251i,0.814143782604426+0.580663328656595i,0.722417031513989+0.691457614448287i,-0.91947899772995-0.393139126434303i,0.99371696258126-0.111922286780935i,-0.990363500674215+0.138492369942588i,0.996581171206223+0.0826194238495616i,-0.0275244254386141-0.999621131231365i
0.693631005612978-0.720330499182375i,-0.610504897734774+0.792012480862425i,0.995662026598794+0.093043692903834i,0.373038179211581-0.927815992991341i,0.558312424816219-0.829630783117306i,0.969618024808478+0.244623968503713i,0.869542630679236-0.493857887890266i,0.707948824260252-0.706263734187539i,-0.0689663298361014+0.997618988065553i,0.4013530639293+0.91592342369576i
0.907136076882939-0.420837424687291i,0.935396100603752+0.353601661443064i,-0.914626647806633-0.404299511651946i,-0.670497172109711-0.741912085218242i,0.750178283267897-0.661235618605979i,0.227815401557276-0.973704340553793i,0.8559994080938+0.516976801552124i,0.455430453665503-0.890271364177257i,-0.949533485274581+0.313665682442798i,0.708347045952534-0.705864337171329i
-0.518428052789219+0.855121251099035i,-0.997607542064246-0.0691317005181631i,-0.87162166096731-0.49017923266147i,0.708850464418173+0.705358787493387i,-0.258556752953384+0.965996069092521i,-0.527906739468168+0.849302345707398i,0.63150439562777+0.775372296579395i,-0.600192559566013-0.799855544108808i,-0.490705266530992+0.871325623058767i,0.9566452096303-0.291255803189222i
-0.869292434037049-0.494298153067501i,0.200309204285805+0.979732730227172i,0.841799819710916+0.53978983274481i,0.999843566209872+0.0176873714476173i,-0.397212135633468-0.917726821720657i,0.43249454170313-0.901636551719705i,-0.0476035519230224+0.998866308293714i,0.920562533441466+0.390595215054958i,0.940767096560095-0.339053491399056i,0.928441177825935-0.371479446695493i
0.639578279410763-0.768725974913017i,-0.966870293627944-0.255268163506171i,-0.139086300712268-0.990280263841594i,0.954821500986812-0.297179913946571i,-0.972111044109634+0.234521039397488i,0.592012752096942-0.805928595692326i,-0.992113233896217-0.125344848829098i,-0.517378999749562-0.855756373402i,0.877820209557673-0.47899027097857i,0.99924153958625+0.0389402820393092i
-0.844941001720762+0.534859517640955i,0.543473408931984+0.839426383778737i,0.827725105131805-0.561133807869872i,-0.0298065960187687-0.999555684708848i,-0.981724958063335-0.190305298705905i,0.474022202823723-0.880512891007364i,-0.95759367065003-0.288122130234736i,-0.987021193579125-0.160590047716664i,-0.986394936798673-0.164392909390711i,-0.162333276416435+0.986735986658998i
0.633919216390053-0.773399267578798i,-0.969170380845869+0.246391503285062i,-0.703268167410285-0.710924668799289i,-0.622628602971692-0.782517490386968i,0.829024029721646-0.559212981022512i,-0.99339176827574+0.114772796088617i,0.659202197728885-0.751965732270699i,0.937382540772099-0.348301553622209i,-0.828714187846696+0.559672042236872i,-0.354308511136854-0.935128589519102i
-0.999993783679922-0.0035259894375116i,0.615927622690247-0.78780274409724i,0.38163765033177-0.924312016501595i,0.894554571398394+0.446958743946503i,-0.39634079607619-0.918103465501406i,0.367954253723893+0.929843893977098i,-0.405687239029785+0.914011960582787i,0.743122780657735+0.669155088800434i,0.789648274127813-0.613559779619693i,-0.982656368210623+0.185435870357135i
0.286935877559498-0.957949791048133i,0.785188555323593+0.619256758210073i,0.653547092436346+0.756885855309767i,0.310735605038683-0.95049638808427i,-0.826883714493063-0.562372939165954i,-0.945991319641594-0.324191954191888i,0.85591781315179+0.517111880669414i,-0.507715505713823-0.861524790855003i,-0.722708302002816+0.691153174206852i,0.957796632310159+0.287446710079134i
-0.588871618631976-0.808226587517236i,0.0552224660924102-0.998474075396388i,-0.429501477841642-0.903066155124776i,-0.719534915617057+0.694456265871332i,0.285181361460157-0.958473573488456i,0.254003283335555+0.967203356101889i,0.553492105502957+0.83285442254088i,0.675377507430407+0.737472184192116i,-0.6320635154121-0.774916584210776i,-0.954301716825862-0.298844831414587i
0.770418341893919+0.637538687824845i,-0.454253668317583+0.890872384138165i,0.90522980695394-0.42492234184864i,0.317686027857155-0.948195964821799i,0.41296775077234+0.910745648807632i,0.993295693278143+0.115601322289552i,-0.660414917693172+0.750900883265109i,-0.0273632464657095+0.999625556267374i,-0.243324316986268-0.969944986462205i,-0.989507560209524-0.144481100107226i
-0.798919538504199+0.60143791948649i,0.744301515229851+0.667843735035785i,0.999676403032131+0.0254379484381221i,-0.221919455659552-0.975065000499848i,0.224295428651499-0.974521195606355i,0.999913644677142+0.0131416585130903i,0.400551306596131-0.916274331619157i,-0.999492559195917+0.031853164866234i,-0.817116831347746+0.576472101604422i,-0.813240545745566-0.581927671412397i
0.528597396625304-0.848872659638035i,-0.52550007916578+0.850793551219541i,-0.178660059825972+0.983910861319754i,-0.97420402931014-0.225669025955908i,0.619297116728986+0.785156723980101i,-0.988893926012564-0.14862302343667i,0.694663771684771+0.719334584396363i,0.459048889303706+0.888411006926993i,-0.0575529473963273-0.998342455395941i,-0.589209369561423+0.807980395072202i
