-0.66055717158359-0.750775747523512i,0.721928358340015+0.691967806638785i,0.0487735579581478-0.998809861807593i,-0.998159856381956+0.0606374563084014i,0.965876024807468-0.25900483528715i,0.78692130316428-0.617053370970641i,0.208797257536313+0.977958948650358i,-0.898348335757278+0.439283812178561i,-0.0907981738802576-0.995869314528774i,-0.952882379616359+0.3033400247522i
0.792636966546528+0.60969388980366i,-0.801490065944381-0.598008088734987i,0.471359214491947+0.881941319427509i,-0.826480511806524-0.562965330730078i,-0.719393807753928+0.69460243979222i,0.118508892393379-0.992952991044236i,0.0307041187194286+0.99952851739891i,-0.0499654177213686+0.998750948451079i,0.754641778026126-0.656137018356355i,-0.84828887298398+0.529533745828884i
0.447309417267065-0.894379273700033i,-0.699536123370942+0.714597237679488i,-0.866371195625871-0.499400592099968i,-0.937503370645866-0.347976191754034i,0.981821631238943+0.18980591252988i,-0.549633239503227-0.835406070143848i,-0.963787077098091+0.26667296454406i,0.993123878073458-0.117068197219979i,-0.620031726204174+0.784576738439442i,0.657046641744779-0.753849925762355i
0.423493555645743+0.905899115976236i,-0.657669116535845-0.753306931572358i,0.964572498290781-0.26381792119013i,-0.962979716198935+0.269573860360049i,0.577983737991623-0.816048282038036i,0.0607008760512507+0.998156001658363i,-0.674668857881793+0.738120540429866i,-0.770295807395637-0.637686732736933i,-0.394680664230696+0.918818357066519i,-0.994536402240923-0.104390347339594i
-0.336841264496876-0.941561449153557i,-0.733360736903863-0.679839708731274i,-0.887849625345754-0.460133722708305i,0.306836909339705+0.951762108442471i,0.965364240443152+0.26090588968748i,0.694496004697069-0.71949655972757i,0.138898364633146-0.990306641552119i,0.517498188705825-0.855684301998225i,-0.321038308843623-0.947066209013302i,-0.88501049245833-0.46557107753668i
-0.930200599432085-0.367051556073788i,0.531979347857628-0.846757328549906i,0.133895924307415+0.99099539931014i,0.936366310515762+0.351024404466556i,0.967514769299405+0.252814499559498i,0.357680479345574-0.933844031246718i,0.375125106302145+0.926974193072172i,-0.588547333193248+0.808462761412742i,0.325172343429839+0.945654771609781i,0.977325858243978+0.211740800998938i
-0.491280338849515+0.871001508988306i,-0.522632276630031-0.852558211164793i,0.288050805500899-0.957615128039592i,-0.939830101696265+0.341642181156817i,-0.305801624365511+0.952095250768228i,0.196767251554489+0.980450227556551i,0.830625485180779-0.556831485611396i,-0.914787301219087+0.403935877990925i,-0.939334944771947+0.343001255872749i,0.318038593735031-0.948077767324519i
0.812336381865031-0.58318916545014i,0.0991097676644962-0.995076506583031i,0.460666108531128+0.887573510449015i,-0.0738018628540721-0.99727292404801i,-0.976511600590692+0.215464832192644i,-0.527565443087095+0.849514392615168i,-0.999738874555451-0.0228513173055868i,0.999504942863341+0.0314621866968875i,-0.803167166387624-0.595753726666376i,0.00665663680398109-0.999977844347793i
-0.210831451451508-0.977522428939025i,-0.919999968322098-0.391918433206884i,0.305249156475905-0.952272520064896i,0.921325774239076-0.388791483603702i,-0.0547601454976428+0.99849953753874i,0.99581183684532-0.0914263944315264i,0.258144082748401+0.966106429200213i,-0.917681174605008+0.397317583018386i,-0.348529444143957+0.937297832369575i,-0.0449084978689216+0.998991104474488i
-0.999131672506764-0.0416641451830841i,-0.683919034217723+0.729557917258594i,0.973502036421263+0.228678344151024i,-0.912488177708945+0.409103074470735i,0.957467362641272-0.288541590549383i,0.0669532409827198+0.997756114249324i,-0.987748301900022-0.156055413535138i,0.857281805663141-0.514847458650565i,-0.856827066003708+0.51560389735094i,-0.90095294491235-0.433916801995226i
-0.968861298922394-0.247604086093932i,-0.995073261426992-0.0991423440970077i,0.835104482896143+0.550091358454908i,0.96400340259081-0.265889901638517i,-0.829876528678083-0.557947082749982i,-0.507824406525005+0.861460603938175i,-0.98955995044126+0.144121839020642i,-0.134634935442115-0.990895269016104i,-0.433064511007135+0.901362928739668i,0.603734725288309-0.797185286794137i
0.820207398054721+0.572066276034783i,-0.840846934781209-0.541272973894916i,0.493269538258539-0.869876521482336i,0.942546257976656+0.334075667438086i,0.156439378667111-0.987687562340565i,0.377576748773531-0.925978292826354i,0.648918183441696-0.760858193882887i,-0.993946341472532-0.109866602174498i,0.914197574356816+0.405268793568064i,-0.272548191991659-0.962142132453453i
0.775128719693409+0.63180334591268i,0.433435783273072+0.901184454913898i,0.982794243952933-0.184703746721562i,0.682540451400159+0.730847817402821i,-0.516463064266579+0.85630946698514i,-0.948942283136795-0.315449747622544i,-0.951575960507273+0.307413713722504i,0.994320595353815-0.106426282727696i,-0.958837491020567+0.2839553940558i,-0.350298370438089-0.936638164751159i
0.976259416577476+0.216604597236082i,0.837361036324431-0.546650249104192i,0.164547054069118+0.986369234616112i,-0.499446054331677+0.866344988334624i,0.492032299708722+0.870576944355493i,-0.738810488327804+0.673913245408362i,-0.363765243284528-0.931490658985987i,-0.999592998305654-0.028527841459064i,0.636582077439834-0.771208959155938i,-0.775719853020774-0.631077419679574i
-0.696607164286964+0.717452757095598i,0.0734870601042467-0.997296170652046i,0.958529933208699+0.284991872064675i,0.915364247834755+0.40262674251211i,-0.610548190132012+0.791979108011394i,-0.999999990899141-0.00013491373897972i,-0.435673254465485-0.900104891300704i,-0.874586122477946-0.484870203630819i,-0.405464219027646+0.914110916184847i,-0.593852910802123-0.804573626420756i
0.590566961093654+0.806988639613103i,-0.536701967519607-0.843771887455717i,0.436379205824338+0.899762851380362i,0.882207442518243-0.470860943767288i,-0.586673844539135-0.809823314145543i,0.417102875056422+0.90885928042776i,-0.829946729280562-0.557842653941502i,0.553575182017143-0.832799206204405i,-0.424435032371022-0.905458394017201i,0.601626081374683-0.798777852853811i
-0.458836626945479-0.888520652417992i,0.995603238760082+0.0936706515960867i,-0.176977719053527-0.984214858127335i,-0.297978743922316-0.954572505454918i,0.4567591911757-0.889590378363278i,-0.968062751078066+0.250708017373132i,0.9010673336348-0.433679213539539i,0.367894874747237+0.929867389004859i,-0.408596220759793+0.912715250437295i,-0.991375784716746+0.131049812961544i
-0.999840850619202+0.0178402195353836i,-0.122160238156389+0.99251039098519i,-0.744039421962773+0.668135718671965i,-0.838902681395856+0.544281444793816i,0.888556155773703+0.458767869446694i,-0.428604338159024+0.903492291782982i,0.46889756636017+0.883252552932348i,-0.794225098935782+0.607623643566021i,0.906042091750154-0.42318758013085i,0.224510468476356-0.974471677138195i
-0.796379507446604+0.60479722231431i,-0.721187367159034+0.692740053302983i,0.150245902458517+0.988648657913632i,0.984203749570475+0.177039485232582i,-0.902835298984285+0.42998653805434i,-0.429946027682247-0.902854591437766i,0.53488866468231-0.844922550530151i,0.497906553647135+0.867230686631436i,-0.66869252362004+0.743539043261793i,0.940458459661421-0.339908643095858i
-0.487257860593322-0.873258138977255i,-0.16723859621709-0.985916452817041i,-0.608024459463437+0.793918293462366i,-0.768992749149646-0.639257500351204i,-0.521440236435183-0.853287805975463i,-0.156453523248257-0.987685321883041i,0.994640385654745-0.10339488974113i,0.992797276005651+0.119806380279846i,0.109157155756104-0.994024504399785i,-0.710051050325991-0.704150201257486i
-0.587454081810308-0.809257500283073i,-0.771841002567969-0.635815591783397i,-0.700927729623335-0.713232302861471i,-0.227715334347778-0.97372774762912i,-0.264545741771729+0.964373138629673i,-0.351431964149007-0.93621342362432i,0.806949451640448-0.590620506329725i,-0.556931164522806+0.830558654149887i,0.680861443758666+0.732412243482361i,-0.96980725961534+0.243872670050142i
-0.988798955293383+0.149253562807437i,-0.732024449725719+0.681278360880307i,-0.962394585557188-0.271655409830558i,0.995149497027485-0.0983741763164665i,-0.774856456930875+0.63213722493817i,0.586091624638371-0.810244782475491i,-0.999593115402296+0.0285237381899988i,0.385779081339748-0.922591188122161i,-0.327590243265204-0.94481989422188i,-0.855995859101914-0.516982677853308i
