110.226615796083+72.8915861731941i,-77.7198106688108+65.0442107145189i,-97.734421123967-18.2574409381806i,-12.6974362787993-19.8683400662552i,-27.4079116477308-146.526428740427i,-43.7699723139351+16.3589123624304i,105.523017382014-79.1527885012823i,-91.6827225179641-52.2155681035042i,-34.409345239947+106.137387896799i,-32.2590463044532-149.30501175941i
47.4036495342052-45.601455875418i,-2.45410685696547-23.4143460087405i,68.1405200104659+5.7240093512532i,-111.463443545066-84.0650741733132i,-108.468864845815+31.0054446160064i,-49.2377200950576+179.008242668165i,-39.2697340835632-147.146518681041i,40.0003692375263+16.7449590735482i,4.91967154115938+123.705689178182i,-16.5195213088212-4.2587569833859i
10.2041506315316+69.7564601695348i,-71.4855471298494+56.8799087897363i,-121.524681388625-159.264367454358i,32.6281104498887+89.3919908366109i,87.9311186106306-250.612093596358i,-7.88627472031015-34.5561066937429i,62.1180469554721+169.641349045437i,-46.2409268483214-18.9657790551029i,-101.415282449507+33.7455621927324i,57.348611069699-136.335368800584i
23.8541455028465-29.0090912434338i,-3.53510081876365-25.9093804052026i,75.4374731323503-32.4886318620665i,-123.648487945058-71.0945400196202i,-96.027052804677+43.2134874711342i,-35.5174761123862+182.896194390999i,-59.1849795998419-118.043696448117i,32.3361603655064+11.465107534344i,1.21646612595697+116.947405421952i,1.14813279706815-2.16722681403035i
40.0291664481461+19.4972894908461i,-51.1679550657965+58.7576863490487i,-84.9491746767625-94.2613613133763i,17.9411201320103+56.4084028588138i,48.6697961065358-216.109558047855i,-29.1899312314198-10.1968429361107i,34.8850419262094+89.7394547948089i,-41.054220717661+6.35982471552559i,-73.8781639143201+41.048650207752i,16.7888137489214-105.083196086707i
0.168402180975463+42.6942513731465i,-38.177756249313-21.5663596754591i,-4.46612512562706-101.660513241654i,-83.4597672782263-26.2051075618842i,-50.5868398821204-31.3075993548912i,-9.29621463760853+135.914080992055i,15.1179592368972-13.8574166988299i,26.8478888233605-29.5358588352707i,-37.5717677697618+116.252931980747i,46.1661443471993-64.0365665691086i
50.2324007165098-57.9889410869605i,-8.68022127489483+49.1289869780254i,14.510225733144-39.9688256974999i,-38.3668122981522+15.0769379473976i,4.62754701898269-117.966879833342i,-48.2006228507782+50.7917553480039i,-69.7558154797074-8.36872283209998i,-33.4306324840543+55.3858388029422i,-29.7744334404084+36.6677776336747i,-22.7787268990315-27.0889728979075i
6.15189838092592+105.088388878677i,-78.1749455991063-5.82973306039028i,-102.621024500199-126.495957418258i,-25.3938882796783+4.57061216351858i,-24.150199718432-127.915817236755i,3.51592635537023+76.620761368051i,123.216827064749+52.7165179941165i,17.1737296804035-76.2357052183838i,-70.2757950227541+126.597675582752i,66.0606405737694-140.525394681336i
33.2379455473486-91.0297309850209i,21.5822885105429+33.4593241901817i,79.4873355573559-45.5373145621605i,-81.7928871764284+2.51609827953499i,-8.51358355458293-46.8767000654871i,-49.9504633971321+95.8930053031077i,-149.071241405923-30.1556422275029i,-23.7402749918623+90.708747731144i,-12.3330308399237+28.0231892832238i,-24.51168860327+27.1222492265785i
25.8893633063907+99.0998238309842i,-92.2154737903608+6.77254321642686i,-120.522752646005-97.4519938853056i,-9.38668963539637+3.44261472848233i,-25.7686361842211-153.771454005559i,3.38040277796062+57.5425325448537i,148.27385959638+31.1981399767255i,10.7902162497639-93.3571114603856i,-63.1831510697566+130.453824517621i,49.8007023182047-159.15878102333i
21.4240635752495-49.6995284990417i,19.5253025552065+30.90292869851i,38.989637044692-80.9649881030171i,-63.9117401224435+13.723635475486i,-8.58433418760472-72.5652871933093i,-49.0220822754566+86.7831857375544i,-106.536943772491+20.0091334305029i,-23.8245403624075+88.0129242787667i,-37.0183873102507+36.5062131684805i,-4.2730529400799+3.73364486465091i
23.3276642802117+32.3232614822237i,-76.1303105491228-1.00196497200444i,-36.0810354486633-70.9924982775921i,-58.0543792047694-6.03758868746534i,-20.2042668193041-81.5754009006106i,12.4825086024351+92.4219646554403i,44.2732810607347-26.0541731121251i,18.9731123787458-73.2895018648395i,-22.5281418959024+110.689014257697i,32.1712487795359-100.632525542744i
40.4000608673648+23.1579851191612i,-3.03909956728774+50.2846062744644i,-72.6034567510855-84.7458793288232i,4.76889185623933+16.7940914508726i,-32.6029089331273-172.186125851833i,-65.8271247839096+37.8482154637969i,36.8324408019426+63.2766071272482i,-39.0182167736862+57.5380508410121i,-78.5883285188335+67.7561625205146i,-1.71542579642903-75.7547659473982i
-6.12564641066033-29.3687756658023i,-53.2946864045377-25.3055354366829i,68.5902499497465-91.2140841926466i,-129.761129210709+3.87802875194436i,15.1890935697533+21.8404644333828i,40.5404580577405+143.021372061821i,-103.400177526824-42.2877456806065i,37.2786782252722-40.5046462315084i,15.3025745400779+76.9382408359634i,42.4670920390773-21.9656338587981i
