0.345458249236981+0.938434120241863i,0.740176922224284+0.672412168098248i,-0.781837427014071-0.623482347560873i,-0.348506995037541+0.937306179649907i,0.652879923572958-0.757461421720848i,-0.40312772741367+0.915143723898214i,0.254937965845525-0.966957410422272i,0.940063545916764+0.340999310319538i,-0.969231800521483-0.246149785411007i,-0.160763918307659+0.986992888814488i
0.267459149129528-0.963569200185907i,0.411466614206676-0.911424832552468i,-0.38264813521513+0.923894152279569i,0.87650158883405-0.481398966317322i,0.365782882067961-0.930700211231337i,-0.340488765809875+0.940248584342071i,-0.819753769868421-0.572716122338556i,0.998710415034047-0.0507691530609114i,-0.0454390846364113+0.998967111364236i,0.871618712046097-0.490184476305709i
-0.616237869372228+0.787560085550034i,0.423757378587028+0.905775736092025i,0.821155024597937-0.570705200237006i,0.97807026083969+0.208275214226226i,-0.952068311483404+0.305885485548334i,-0.312610744918499+0.949881320040299i,0.574009732148655-0.818848476458636i,-0.888069843967634-0.459708551405456i,0.652915105601957-0.757431095794717i,-0.690905099091966+0.722945464090287i
-0.152739372908536-0.988266504523707i,0.656883652693649+0.753991954084292i,0.855596690324048-0.51764302710124i,-0.836276285772814-0.54830828359056i,-0.547830861901879-0.836589114648192i,-0.218674693866197+0.975797816282925i,0.426200915312579-0.904628531379991i,0.996980893933223+0.0776472609440401i,0.346299080391282+0.938124163914432i,-0.996520803332033+0.0833443970911004i
0.768668535106307-0.639647311522158i,-0.319501995439716+0.947585602945739i,0.700871731754746-0.713287330342481i,0.931976768594445+0.362518003415357i,-0.899338075098907-0.437253961305547i,0.946483053395116-0.322753512197555i,-0.877297795414508-0.479946432595185i,-0.373559264687455-0.927606315074541i,-0.966247418758384+0.257615849168406i,0.36826477666984+0.929720955052812i
0.900250002042464+0.435373326953482i,-0.0417955441118388-0.999126184469407i,0.992366979544612-0.123319819613487i,0.968700649055993-0.248231852344736i,0.615655631578172-0.788015319207744i,0.958876750894016-0.283822790830715i,-0.245035055763806+0.969514219311315i,0.99458203441783+0.103954686345976i,-0.839830976090183-0.542847982034944i,0.6457088662903+0.763583695474239i
-0.624167294936952+0.781290719214741i,-0.298432484124845-0.954430747838246i,0.97017062573218-0.242423094952668i,0.943397094886184+0.331665375582541i,0.426601021844927+0.904439919597131i,-0.995912915471825+0.0903186846472555i,-0.98495074788118+0.172835251752365i,-0.82657461665795-0.562827152060705i,0.950148761498476-0.311796938764498i,0.869110843428403-0.494617369119979i
-0.354765166138768-0.934955441127828i,-0.400096265651045+0.916473119197769i,-0.891283658666321-0.453446181805931i,0.717568620335405+0.696487814042674i,-0.210535604589509-0.977586190164392i,-0.436301033872759-0.899800760080564i,-0.235790080048143-0.971804012211768i,0.212103334616382-0.977247243764141i,0.0106443217372837-0.999943347602629i,0.622323892575819-0.782759843585043i
-0.907282419672346+0.420521831720415i,-0.994726490918356-0.102563191571123i,0.45728504351937-0.889320183608518i,0.125659898533343+0.992073379292374i,0.639339384154523-0.768924672428266i,-0.866591387171246-0.499018404150203i,0.884998457032399+0.46559395512643i,0.851928743593371+0.523657727756805i,0.654413281774625+0.756137062070737i,-0.621893340964356+0.78310195534438i
0.962743073703134+0.27041777685027i,-0.491183116726355+0.871056339075139i,-0.349539420880601+0.936921658011199i,0.85608376836092+0.516837093820641i,0.467317415714574-0.884089606866777i,-0.801330887232236-0.598221371373172i,0.737683357634667+0.67514684615189i,0.226910913820438+0.973915518507213i,0.335533767996342-0.942028179267572i,-0.929944587008248-0.367699694171831i
-0.66467504850769-0.747132571831332i,0.963420695767122-0.267993587549393i,-0.808768804792951-0.588126704370565i,-0.959339590263331-0.282254407500369i,0.237367875158456+0.971419832946991i,-0.941148429206776+0.337993541656667i,-0.827159680462832-0.561966959007935i,-0.284932791332465-0.958547497218312i,-0.316940037588056-0.948445577022573i,-0.599974745962543+0.800018939905288i
