-0.874442157560341-0.485129789933803j,0.208176752732364+0.978091222546143j,0.298839169140561+0.954303489979671j,0.427392201974221+0.904066317087207j,-0.0652439975049268-0.997869340539921j,-0.788203976366343+0.615414081444587j,0.346663168276084+0.937989684250732j,0.0120929664526386-0.999926877407731j,0.553761294147407+0.832675464454303j,-0.942102280999681+0.335325650875679j
-0.445454764118728-0.895304447170865j,0.980697951738157+0.195528840472663j,-0.688396894964655+0.725334209177412j,-0.457783485859203-0.889063709795084j,0.797802476752766+0.602918906725566j,0.936138050098565-0.351632693527859j,-0.376120539538368-0.926570741895818j,-0.629227224657224+0.777221396868464j,-0.490775428002394-0.87128610643638j,0.837626185266439+0.546243877545546j
-0.945304881967473+0.32618810543682j,0.997773955774779+0.0666868291160148j,-0.80755017965254-0.589798870245739j,-0.999674410252386+0.025516141686066j,0.629909740323678-0.776668345592478j,0.566643729289017-0.823962914248836j,0.974550223702106+0.22416926970969j,-0.089919265832338-0.995949057749528j,-0.991480526731772-0.130255000332763j,-0.997154042530446+0.0753910834594429j
-0.744006990142147-0.668171833153436j,0.667354106275042-0.74474055672955j,-0.990861818976563+0.134880894475302j,0.0569800226120453+0.99837531871693j,0.96667532615572+0.256005495647519j,0.993949504551079+0.109837982513628j,-0.463189072311726-0.886259489817177j,-0.537561559668832-0.843224507214071j,-0.992410963413305-0.122965359744423j,-0.598843969003905-0.800865719573294j
0.911438227324523+0.411436942643136j,0.195258610143141+0.980751790803855j,0.906199670290981+0.42285004146212j,-0.625356882703214-0.780338881035489j,0.612579649423611+0.790408864520158j,0.181929018624839-0.983311665842627j,-0.878585489601066-0.477585110176664j,0.884714011182863-0.466134227896568j,-0.238651707022677+0.971105227426545j,-0.846046842419454+0.53310856345783j
0.737290679322608-0.675575646529689j,0.970903663808656+0.239470406528505j,0.745467489559188-0.666541988182531j,0.83843062392784-0.545008338339858j,-0.325189752745914-0.945648785072477j,0.793968226943621+0.607959254065601j,-0.980809250518343-0.194969777395488j,-0.606585480073527+0.795018273603802j,-0.94337402628582+0.331730985181188j,0.596633860828761+0.802513573787115j
-0.0750830162362415-0.997177286480628j,-0.388875654688826+0.921290250241658j,0.692079129327579+0.721821639152762j,-0.973309425760699-0.229496757548726j,-0.653138063841046-0.757238845782471j,-0.344780538527644+0.938683322666696j,0.486406720218829+0.873732512000075j,-0.60856791405543+0.793501792047266j,-0.254843817026324+0.966982227821925j,-0.64660825648876-0.76282223528196j
-0.744190571862365+0.667967359046208j,-0.990444441699859+0.13791231963046j,-0.894384176422883+0.44729961431278j,0.985351724833414-0.170534390572152j,0.897479778960373-0.44105560460926j,-0.292443553409482+0.956282786663671j,0.965641094685002+0.259879349421131j,0.177299615446463-0.98415692161491j,0.655674655603881+0.755043539141109j,0.94116347758301+0.337951636279298j
0.615213443398571+0.788360589490414j,-0.724396746879295-0.689383313629431j,-0.813542606481069+0.581505311618036j,-0.816787900673686-0.57693806020497j,-0.609467592335305+0.792810982449794j,-0.834784283317067+0.550577152020324j,0.926752824312871+0.375671668652451j,-0.153212962485151+0.988193193726067j,0.722799858934204+0.691057424476935j,-0.614059927369677-0.789259403237457j
-0.816090734935692+0.577923794588977j,0.295267095405046+0.955414748876668j,-0.792174939608873-0.610294080796855j,-0.981688034701256+0.190495675867944j,0.136708857570544+0.990611270005423j,-0.250706067120073-0.968063256150746j,-0.897113292941707-0.441800565444735j,-0.487997379822245+0.872845093522684j,-0.514520840532937+0.857477874150278j,0.936711414654388-0.350102450228751j
0.99871848232164-0.0506102071637786j,0.0252674918162758-0.999680725960701j,0.928979045425956+0.370132318447715j,-0.654044912162061+0.756455717722407j,-0.183401643795715-0.983038064905439j,0.244864369281643-0.969557342634412j,-0.540543690983114-0.841315944302943j,0.620313771521032+0.784353762572319j,-0.355205253101928+0.934788333350815j,0.872622607808038-0.488395110891069j
-0.567876335946192+0.823113884630995j,-0.850494117238921-0.525984559223927j,-0.556500383450946-0.830847352537727j,0.480593910874577-0.876943266597264j,-0.347030884665882+0.937853701324474j,0.0225147606602568+0.99974651064778j,0.864070905771204-0.503370112143869j,-0.766203286441515+0.642598260070957j,-0.998585178542493+0.053175569533922j,-0.683874901235819-0.729599286910081j
0.82694284658133+0.562285984609227j,0.73024614331462-0.683184140751323j,-0.00434669453179999-0.999990553078701j,-0.359070151152445+0.933310573470246j,-0.991268940363159+0.1318555568465j,0.836430376562042+0.548073193254588j,0.975356228478937+0.220635961636683j,-0.904154950159127+0.427204665356953j,-0.0344334616059414+0.999406992531988j,0.618931999497547-0.785444574746028j
-0.904267635355541-0.426966091918899j,-0.634275556113238+0.773107055275816j,0.820638557747657+0.571447598243133j,0.99523095206338+0.0975466660374272j,-0.984890687104832+0.173177176481697j,-0.0616830080409751+0.998095790252127j,0.729611984962234+0.683861353930363j,-0.212138052309742+0.977239707933642j,0.885254768295256-0.465106434281997j,-0.716672571216985-0.697409797511646j
0.152389285062377-0.988320548100755j,0.561445339971771+0.827513824793267j,0.977098498127974+0.212787511278404j,-0.798463673991119+0.602042989591777j,0.920917910323004-0.389756593845841j,-0.775325045480525+0.631562406932697j,0.947234608298796+0.320541100080826j,0.294360388390219-0.955694491847033j,0.964762064759859+0.263123846126294j,0.79311406426892-0.609073132767187j
0.220691188838991+0.975343733854292j,-0.0924645320247724-0.99571597873964j,-0.933527981116923+0.358504544562215j,-0.99015126071366-0.140001717514998j,0.156620274448493+0.987658893359281j,0.994998778038488-0.0998870947716213j,-0.735179269354707-0.677872732827541j,-0.187313109829684-0.982300259027724j,-0.788762370976606+0.614698236642471j,0.999302711237519+0.0373375322342387j
0.418967154903296+0.908001389377923j,-0.162559435661552-0.986698753357578j,-0.951082578535632-0.308936771534264j,-0.806801061132836-0.590823195004165j,-0.501274438532766+0.865288354985585j,-0.978556915797817-0.205976606788887j,0.571502307546096+0.820600458487252j,-0.776073585947868-0.630642362352877j,0.463201416766308-0.886253038079806j,0.996502682106258-0.0835607835951377j
-0.563092431207862-0.8263939217567j,0.762400306738226-0.647105688651753j,-0.44988430804978+0.89308684312925j,-0.999420462130927+0.0340402684185022j,0.977489671868729+0.210983272772903j,0.482242834203228+0.876037584159286j,-0.355568145349575-0.934650359232084j,-0.611476709785203-0.791262430164773j,0.864612814333947+0.50243873386666j,-0.4035009348848-0.914979232303713j
