-126.281719009223+60.9977291793228j,17.0976403885584-147.90513754516j,62.0220706107351-182.369763224229j,32.3462308527555+11.6809305425105j,-1.96348935335774+5.71095051285129j,6.33563658559805+7.93965444904815j,69.5443338499608-35.4478376308405j,98.7158160435012-8.84896322192271j,59.8453765763274-83.3457265496953j,-33.7518476374618+49.7465020679423j
74.1022283504288-59.4368907193881j,75.868355810424+39.4567737096431j,131.134492170361+48.2229624347451j,-40.0185067653246-42.6816646040058j,39.1752270643048-51.0122268171624j,6.25861757626283+29.3983738613479j,12.4573581494028-5.09644667035794j,-94.8892711100033+115.627647668782j,-23.0963358185516+35.4143126201056j,14.004838040862+108.138277970015j
-34.8608867724661+124.300037370472j,-97.5013032343025-87.1827477134113j,-46.9418375514082-127.356048733682j,36.0154817437043-35.3540681077972j,51.8932603191881+41.0459843932049j,9.04716908374575+9.40872862504507j,44.3280088330697-49.6623152105281j,35.0912619515535-102.714109072283j,-7.05258400280947-116.384320366223j,-48.7000101581159+71.392935149216j
27.7178898182558-125.164740492139j,132.940125459148+68.3392238567345j,180.032674241719+40.3003116950019j,-59.8805220254704-18.8057810268468j,67.7915125238242-89.1429494750316j,2.83226450802631+37.4957265568143j,25.1647693110857-2.85653302299301j,-94.848409176626+134.786179135084j,-7.94323812878764+48.4442783611061j,22.8586282779211+94.802335470138j
10.598587095277+124.982115755464j,-114.593789069747-61.6109095223714j,-58.7724920555525-102.498123376726j,31.9903268550471-40.5993543055816j,52.5507807507578+49.8972118985644j,-8.06038066710818-15.0780724088404j,52.6010720334072-48.1995065868344j,18.8161906110863-101.011138235145j,-21.2018685240118-103.761277408298j,-39.5272748649377+86.7259930608468j
4.42163599298208-64.5174738219663j,96.6793564553375+0.656877534335519j,149.084556565787+6.05287477039926j,-39.2605984448317-36.0005306601693j,42.2544958864937-64.2382430944236j,41.1912412028015+67.9580108660886j,-3.72494384640738-4.62453478422551j,-66.214921894847+113.049424370632j,-3.02181791452665+14.692793495537j,3.5258063579911+83.8141422421659j
-1.53637267596263+22.1717071812572j,-27.682009964176+24.5687131167261j,4.31118945205437-75.1809392503843j,2.14712136580009-2.19015304102549j,90.119341482461-11.1942051385451j,-59.4700140546767-40.8514617648691j,92.9124696925703-52.9563443570305j,-14.1195262984219-61.4384741341167j,-16.0167679120749-57.3666754125455j,-10.1808178510358+90.1861748793017j
54.0534663160872+49.4080450159944j,-23.9891288730983-78.702296005577j,68.518486087865-8.90543942407467j,-12.6018438857963-86.62019095631j,5.00629161147344+18.3101973252516j,95.1450339850082+80.3082935376964j,-46.3404350392611+6.29452994718517j,-35.0999968908196+66.7964184349058j,-19.3244467297343-31.4302677769447j,-22.2631594396738+89.6398697265954j
-76.0486620576294-71.3961991381836j,97.2892096702967+76.2384628234076j,77.9143474284974-79.0004567053357j,-15.2210109916558+48.6370477976016j,114.79613766296-100.517743058171j,-101.497419072868-36.6442578789407j,124.762160545636-70.5401370949801j,-37.671925861166-18.0569065618002j,3.79595515296143-22.2220705032512j,10.188698661838+78.0209819622455j
131.436713493376+97.4209276085374j,-121.607816172932-93.8846106821589j,19.4706443360342+5.26602404541406j,-10.1377011757884-123.189919152954j,-3.20576838527457+89.9341227486158j,115.553310943208+61.4265456113413j,-60.5397518276869+23.7252100024929j,-19.4390415112734+39.4492737420296j,-36.8040762345448-46.9594549373854j,-26.3689739770167+103.948689639606j
-129.685058137746-64.1223154848289j,140.395532752013+58.2827505522553j,86.569272127421-96.9391020223374j,-6.3768058989225+60.8522605030596j,107.007775659735-140.497113328562j,-93.7754669684869-10.172328798956j,115.778867955515-84.0238927810654j,-46.5935718673207-12.1864657659659j,8.67142647994093-27.5452113122637j,2.54351906664236+67.93257865901j
140.548025976146+40.286757804596j,-97.9988160606046-57.600183662447j,50.8871463987151+11.2068970027236j,-26.6193026108978-105.514463215761j,11.8912285649754+85.2703223703939j,82.9637457534326+35.6938354663877j,-32.2704483046147+26.0909632099026j,-11.9533547558748+58.8678724069931j,-25.9137599714032-23.7584788951767j,-4.1906265100992+105.594952312321j
-84.5770850154905+22.4982221491275j,54.3961458620398+22.3390847773723j,21.0642606355267-85.1991030307517j,8.39132777352892+16.9371215018535j,92.9453940967891-96.4068919737394j,-44.0932312605872+6.95706731668404j,73.4925106415775-75.3074545991421j,-56.1162525656885-50.2819953402246j,-20.6964646946768-59.4248074987023j,-22.2769294140903+77.2831383041689j
48.3938539872795-49.8046708648353j,27.8759361351228-39.0985135727282j,130.474103637684-24.7212008101542j,-35.4934702090285-44.4576572264519j,15.4411150415645+10.4110815127045j,30.8939452692902+30.4867115312676j,12.2158405209786+6.15091981602972j,3.34558435162843+107.933156053683j,14.857596300414+7.666074340199j,21.558724006816+87.1660299030051j
33.6193028811079+90.3417414462373j,-79.0647106012202+29.0326468569319j,-54.843052442339-33.9336644716663j,6.73247333118741-46.1151261973496j,101.641289993953-14.0052707501458j,-2.66873918799999+1.22969458032972j,34.8734767785112-52.0560773673367j,-75.7983486425939-95.9630350324796j,-65.7397246638397-80.7488209196109j,-36.6829839593025+100.476828696516j
-64.7529939986198-80.1771903405286j,133.283102418251-68.1659305995301j,181.729677125845-82.6604492169167j,-27.143993837858+6.54313009525568j,-3.69517965986236-61.4637130859453j,12.3095309126022+40.843371092094j,35.9001721026376-14.3666091359225j,24.9973459139549+140.612032648059j,50.8516069012856+14.9251922862545j,26.661040244344+66.1428343267842j
111.225028947631+80.2423654792431j,-129.701785646217+66.5916789521232j,-73.6321031824084+11.4010814949802j,-4.55538281386806-72.8073272875585j,120.95097994679+25.9465695224964j,-10.4252114607232-5.83304594243454j,26.8565961098117-44.3378763406209j,-92.8538678690377-105.726070721768j,-85.006876562304-73.0181737540546j,-26.8106677174047+113.20000169946j
-84.1735542436054-41.2755219075417j,116.144198184852-95.8277342881368j,164.395041460598-104.722057028645j,-22.3456744004193+4.87872305488477j,-13.3717344944895-63.7228693002174j,44.8084205256692+36.4782842387298j,28.5818237402018-6.0384016084049j,33.0736035169874+127.225403915096j,45.7635659246427-2.30083510697172j,11.2256639164649+66.2068608613462j
66.3745516185532+31.7322502319687j,-51.2266735655719+66.7976484192163j,-31.8652875490935-1.24884905808273j,1.53693709938375-44.6317010203526j,109.741263991455-11.6951631760767j,-57.1497361993261+13.7479414774058j,41.5473535240078-71.4253533516521j,-87.5387758876946-70.9606362070428j,-58.3424837928857-52.4026183075037j,-5.98507706589276+99.9643532518825j
14.0218452206493-5.2916726587735j,-2.57021989145907-60.1407582260093j,110.183683448642-62.3009868641674j,-43.9125802415627-39.5558248779473j,21.384764341387-0.834475537441216j,93.9183416818232+2.35086334751581j,12.1846381747245+33.2533181554879j,16.0070968879115+81.4831959073472j,2.26303148815157-18.2066758005533j,-2.99404128300884+89.38875768834j
-58.2869925174149+23.1192042510216j,75.8844472386179-1.59341245206657j,15.5360774507791-65.8093964441323j,34.0925540947091+3.83627191251373j,53.37821391369-86.0388157364259j,-94.5305710319641+55.5032337417408j,50.965456047178-116.122742714768j,-62.3219107239708-22.7998856007694j,-11.4359814914561-44.760448112871j,2.82645137101651+73.4481695837414j
131.51403217507-28.9273592854183j,-107.231303109687+24.5625308736984j,79.0723775672811+2.89350156644793j,-81.9187725661718-77.989339043811j,86.6102259410299+63.1038566248387j,111.570172081769-37.3962398480104j,11.5356403798732+70.5991550646113j,-8.17165618899828+42.5285315148847j,-37.4523066849608-15.9499621678624j,0.860874044887802+111.554111581158j
