-70.8296835256365-20.7096029115687j,41.5418482045453-9.55992317445052j,-59.3840934390452-61.8302500501264j,40.9284753873295+63.1967592118125j,-196.572348155061+130.546009978259j,-143.261784630049-8.45144982367759j,60.7735474160727+149.932039359833j,-16.2004093243039-172.347155440558j,-66.4302115189852+24.3467279736421j,86.3408335956707-99.072865728269j
44.3554282100947-90.5354462511283j,-46.2949702302668+110.858900882393j,107.361187190724-104.689285714832j,-134.441778167751-0.514170457845174j,-2.81042196162261-255.354968043977j,49.1012376629664-177.849322255712j,-144.888371928412-23.1599554840157j,171.404925859549+20.1805885271782j,56.4535760389547+54.2299702418746j,79.9468639550085+63.8552502384275j
-42.2215634317814+40.2464678874935j,-1.72577053365641-51.1142994237004j,-61.8336581241573+41.8568071558241j,100.967670590523-1.98349763073934j,-12.0399164295117+288.769767121751j,-85.8448616430521+116.473958217633j,172.571033375897+53.4347473924253j,-145.313865800241-104.732238188751j,-93.7713944892704+69.3209279172811j,-5.62648662531929-123.795326846109j
23.8285748895879-84.9837687783609j,-25.7090702681709+98.8097811425459j,91.7538117828821-110.487459933872j,-105.573906775402+21.6556002527041j,-39.5720283642314-192.770101919712j,20.4723007870406-154.903405248506j,-124.113783730473+9.69534631600184j,157.485625215659-27.2258631766333j,41.3195219706883+49.2342194850686j,77.5311471394816+32.9259918649612j
-26.4442963876668+5.30213407043767j,-14.6964473106358-23.167389366048j,2.33975688280808+9.80205359859834j,28.9417034718626-29.7350878237596j,-0.0825014907932875+109.370850296896j,-38.8943065508361+42.3336158018842j,81.4067848802699+23.9922344181457j,-55.1555243476127-28.6522298543162j,-59.1534626956952+87.3768496936655j,28.7316916905162-68.6311147414766j
18.5492987256665-30.4934280135776j,-21.9071596082389+64.2744012831083j,-2.90989730643361-41.6154797433958j,-4.9989948487395+44.1974933281934j,-7.0066363492378+58.651552112201j,-29.820114893814-42.7298106181222j,16.1440035677204+18.6551936393536j,4.42103025109501-104.532283549544j,-4.18736962621135+24.981044441286j,14.5339715117375-31.1147681335739j
-36.3135833317318-53.1236029804721j,-7.72733786069509+9.22782498804961j,98.8064332291954-85.8914434662757j,-77.2385670551808-38.5632737769401j,-75.8553241308074-149.378282384242j,-1.58287157499541-80.8801282886724j,-70.9224613411393+41.9498479431956j,122.899274285401+23.9753093173989j,-6.97054155325918+112.937754186478j,103.427776359282-16.3277621383445j
38.7049592451331+15.9681131234559j,-33.6018194425738+43.9978986603191j,-79.4277650921572+57.5780634054599j,82.3026727517948+39.6463337091241j,92.3828736944513+262.30371661372j,-49.2065950512482+63.1579795061569j,143.435207151368-21.6423409014965j,-158.045236240468-120.849220386349j,-48.7170790216667+4.1819772754818j,-53.9578425203469-61.5731706713445j
-60.5606570581498-74.7535489450573j,4.06833195576282+13.2722097922786j,137.305318664933-164.258617372377j,-125.477684765371-25.6801607982961j,-162.831472603577-250.272326787914j,-0.284502919977017-141.757849846046j,-140.686954332114+87.9758841622256j,225.720061700842+5.17851607827187j,24.5105500196558+127.775473646315j,143.49422125327-14.4684268249409j
54.9477729675146+7.62294094328234j,-36.6917041042709+57.5817716999541j,-79.0175495312947+90.8254009274434j,81.8126768148405+29.6413652050429j,130.37274175803+243.978817470646j,-43.5647409281949+65.2673064569951j,141.913226600725-52.8849089120532j,-178.103159968225-83.7079787393655j,-56.7464344460377-3.83660185109489j,-54.0949284722303-42.2035879528781j
-61.6388991066489-38.991090029978j,-4.34467461477113-12.217590266317j,103.928554464925-141.624893557493j,-78.7832204231267-27.7190946570736j,-123.953182304774-126.164217709817j,-2.73848093068318-83.4338319663974j,-70.6801408843849+85.0386974004303j,155.445707732263-29.1180751641259j,11.989978932326+132.298977485817j,98.1029524313686-46.3221739359491j
34.7133124921083-45.0461433385968j,-13.8817142118165+88.0893246770836j,-31.4981280126121+13.1392292079095j,3.55439332392496+50.5706877225554j,10.6077218808348+55.9836025599407j,-56.219813403358-36.7959986735644j,26.6047961636146-7.46492193546776j,-39.808965772114-73.6045650344823j,-23.7879644391979-6.53764100900827j,25.7897201539849-13.7990095506765j
-24.0916616356501+16.7711554010069j,-36.0741705505881-37.8022341754689j,57.7690991376138-27.8190798865105j,9.41943720519565-65.1519667336176j,56.7947519211286+72.9687818395896j,26.3043577356544+37.6873999908924j,58.9768603563003+1.52420433863693j,-16.9794294693263-5.91082898328644j,-28.4704386602997+136.072395194726j,0.0367848879111357-63.1205821015234j
-13.3794568429027-89.5235997390478j,21.7050407501886+102.704285959217j,-2.81914812291191-110.05248954227j,-71.1596591660232+96.4766726613777j,-186.77548153875-102.310371453207j,-98.2608188194043-145.157498872671j,-82.5222660601508+94.4259234678223j,118.593247979791-126.881481213429j,17.2613780357906-10.3298224084005j,115.943038971187-15.4101418894085j
20.0978348298678+40.5904031545986j,-64.9330559768786-37.0796426559565j,48.9003188642483+71.5600024589911j,52.684235987343-104.184032694339j,217.809976955224+157.795627436768j,66.5864207892127+108.816280118735j,123.888904750659-91.4086989172026j,-124.442003160257+58.3531707141104j,-55.3596363432596+138.793224630593j,-62.3247773061302-48.8985761498235j
-42.4633608034747-89.2432389173109j,38.345543711826+88.9046529900477j,-11.5811096451418-160.594373861988j,-74.0502834750173+114.387367057307j,-260.951338227863-104.063755456746j,-122.632645504365-162.229759021433j,-91.4826738329269+148.761313912226j,147.134877815718-177.023724658954j,26.7621186510133-7.70543479193898j,133.377314888745-35.2414454959245j
23.0147552287764+20.7806633810406j,-63.2967139267004-14.3391333759856j,60.866385348546+57.823121470096j,18.0511110015956-88.9886016227369j,176.939884520142+94.0908519402028j,59.399419307119+72.6412143058709j,84.474758617485-87.221455913561j,-74.3067846925098+68.2002658307481j,-40.7852571927239+128.563485629956j,-34.1316074334871-37.7784151377882j
-18.5630398299971-58.9328602867775j,21.2763483449192+65.4272097672954j,-15.4667244287506-86.4569797348359j,-13.7854227012226+64.5354964125423j,-104.648738638838-7.54944790302448j,-79.8994995578105-84.0294864741593j,-21.5994940086588+79.9446118129144j,33.3721862406863-132.439859101109j,-4.8534097506833+12.454530827827j,66.243428011791-30.4054846586174j
-23.9322356648567-8.09794186355004j,-34.3876843848858+3.98838557021886j,43.9422021397756-59.9583423663544j,-50.0518202602683-11.2128029759418j,-61.1608737201411+4.03140048080022j,-15.6735694833661-23.7701853253256j,10.8679045533099+32.6842689950132j,66.3322673955778-30.2593545708524j,4.92331227931463+100.717114961391j,50.776317323439-64.4273396919108j
37.3449330283078-40.6617770907037j,-8.49954755088431+57.5119011287044j,21.5540009312262+44.7261869907962j,45.1460363367932-23.4929368405387j,159.824772471905+47.6193010066226j,9.63872657555572+7.65284157610039j,34.2196484202571-63.5081719486309j,-99.2929648760674-0.329096544926206j,-51.0554947372338+44.3091836347374j,-16.0961867816068+11.0249191215722j
-74.8251769378874-10.4348036909194j,-11.3869953256156+1.98714466014673j,-7.94175940788015-174.35507293665j,-87.3988655844685+66.5874989771472j,-285.059755346101-3.81189937186085j,-98.4754786877936-88.9133202897784j,-12.4251684029101+162.356361770966j,155.940070051684-164.141095608172j,46.7601956326357+72.353723740268j,107.423564368571-111.1078749427j
66.7026484730887-52.469990180268j,-15.0291071032855+66.9551937400355j,70.0509144732823+115.226834244292j,57.3377384682644-69.7601068047985j,287.310658333119+18.4584265624105j,59.9941675223395+37.5442311806283j,26.0847981531301-145.527205391342j,-132.420523127534+97.4608144405655j,-77.7848133965637+62.6944657450683j,-36.7563136926478+44.9978261601732j
