57.1957237318974+144.906983287987j,-20.7961718662004-49.187398125869j,48.0239890169178+111.52195791974j,5.85281913115107+36.0178728700799j,66.1032070961158+18.9435857298567j,85.563716687003-150.767287911054j,-120.426068094286+1.22646349728242j,-40.3282442735412-17.2913310058765j,298.640900309528-72.3440915150869j,88.6051108975691-78.8048063155464j
-128.12313208476+139.302265376707j,135.051951130462+102.122991987184j,-95.0927422046787-54.6219883167671j,-63.220893695968+36.4800841728167j,-48.7919413645509+94.337952027014j,13.1619955313724+43.1077021031741j,-21.9690598328854-92.6828582115533j,-28.6229055883819-53.610111455066j,-154.202264260962+245.602949978842j,-52.3030021354754+133.629189869703j
91.8183638566275+40.9775076897357j,-109.034580925806+23.2891513457788j,150.242284172999+23.3565163559913j,26.2794561579176+19.1824689729671j,13.3160891958595-30.0310298140899j,-13.7207408357885-209.719200469802j,-76.8194831810387+58.2019492296352j,-24.982318866108-1.92609464564965j,134.102006039838-290.356213520322j,-7.50422263161306-141.147727664954j
-111.267001041528+154.032376813591j,126.754355123076+81.0285955891335j,-100.89899079006-61.3349937560198j,-56.6221803090641+35.4279468786041j,-36.798094731645+110.244531772777j,13.7434126224706+35.6835265025653j,-37.618100865028-108.16821503821j,-20.8935035862462-41.3196002752634j,-86.1570981101566+283.325030488065j,-18.7058478582128+130.099958043181j
22.7949802038632+49.122833065273j,-43.3724805035515+44.0114785275303j,108.851182283806+22.6209123385363j,15.0333572060373-5.44630224564209j,18.3863738079984-13.9290211048937j,-31.0587393683454-165.361007527014j,-42.1516935707723+47.0246113072289j,-40.3936566418969-9.45032634028578j,50.8117885376755-214.722720835362j,-30.0421573785479-100.560105184719j
-3.17242969462697+117.917990060786j,23.4727965582494+71.9874071981541j,-22.7353761093101-60.9056513113702j,-35.7667535171454+81.0173465994462j,-59.7770357883928+71.2278746133361j,34.6439689082509-38.8513210935737j,-81.1302301333608-66.6688905993998j,-4.37359091137779-39.7450667228543j,-21.5667938143465+113.374947929567j,-15.344891807438+65.9373750536048j
-90.3770109139786+110.695309004653j,74.9837559453686+33.8567109862888j,11.093456866351+25.3983120769146j,-13.9048891698887-60.0630680705682j,59.1854298570098+35.2880134843781j,-53.108888580709-74.9741583829933j,-4.29392532935456-13.4228286123084j,-53.8821488821605-2.91454710327411j,29.383219960896+4.29893612798336j,-12.8812854569445-29.6728637235404j
93.2851788106892+46.1401125641401j,-76.5728402634415+97.4461450075226j,70.4089732306813-68.0292361116234j,-0.9780903383488+132.939734543277j,-106.825921649567+27.3486895707124j,47.9175593588014-125.76457570231j,-104.809806146564+1.51097532441321j,-0.214518372503966-50.5416075138429j,-49.1889309021315-96.4428673865008j,-46.5516173950512+8.69573242978847j
-142.966174219094+173.44575983715j,135.697755288988+2.48128502577339j,-57.0818487461152+30.8819758243975j,-45.9904941965887-96.8817601867906j,102.225177592366+62.81178108282j,-62.5853018642104-9.8551392754129j,-0.402228724310147-68.9693139774184j,-47.9155462797682+9.99542256022897j,91.5420902473801+149.210724963232j,20.0748210264744+0.874584187223598j
99.9918003528782+14.2632858359387j,-80.7776410597249+118.277956972429j,97.5349910212964-65.5907726950546j,22.0186046369902+148.738110009906j,-129.871268736084+22.761871744368j,52.04144073246-155.333943145707j,-93.090612173378+33.126051706152j,-17.0633570760642-59.4397071369908j,-115.659916964951-139.51263844732j,-66.7263120023251+12.1154813227152j
-102.93692103344+161.455622651735j,88.4066081145321+4.7269383533982j,-39.9630876324372+12.0106776190708j,-51.8217865697899-89.513318778599j,98.3293018569404+46.3676728242095j,-72.2865371766309-20.0630913467445j,-20.9679018023922-65.3304778140393j,-25.3710384590327+13.3159999671469j,127.401917784566+81.540603954781j,15.7950479613229-31.2942003430525j
36.1300706202735+73.473524821235j,6.76541579068118+84.2576778071035j,41.4150673535811-27.9617136528011j,9.83950365437998+123.802284144839j,-93.6296040289797+53.9052864507881j,66.9077556405227-110.12543830739j,-75.6016301925227-1.24404296151033j,-41.3180828196206-54.205675122322j,-93.6571663711032+17.2962857923425j,-32.937792813796+62.4164808898512j
-30.68144528939+67.4110942158868j,-11.685934680428+66.167754063622j,38.595172126251-43.0388726092451j,-22.7961227670111-54.4263410345691j,37.9817410365951+11.2870518490826j,-98.9538684267877-86.2079934886189j,-27.7700334289122-6.91281880488937j,-6.573299411454+2.73245065371604j,38.8298488109912-120.033782313128j,-43.3861915578633-82.2724099843753j
-18.0903627499227+180.512874055371j,97.2645271549546+7.23987766580528j,-41.3806970706766+34.0762090612892j,-26.4890809042722+89.1273922554546j,-19.2591194532208+84.0189385263029j,96.6969943165922-40.6671950350903j,-85.0200555894738-64.1179932620435j,-51.9190475404305-40.0297490383832j,47.2711097771191+209.16137617715j,39.4317833685199+100.25459712438j
-0.552662460489678-23.403403721828j,-68.3753908638097+136.762570338876j,105.874993043336-99.2171069094815j,11.367375112142-27.0136996953071j,-30.8896759575851-7.22708949607574j,-129.236199120141-140.482140540926j,-5.64516628884235+46.0593092734044j,-7.16119054340393-8.61327103719949j,-119.873189734866-254.131367256639j,-111.429386652972-95.8777937055002j
-16.004765390456+229.981605566766j,113.98474576767-36.7561019228578j,-81.7453250399674+68.0009705808657j,-45.392480765074+74.0386017290492j,30.4629487319695+90.7783306403269j,112.13857884255-14.0373580276512j,-113.214889864427-89.4337618153206j,-43.1089955598065-33.789856809258j,178.95770327222+256.437181213204j,85.8785094721192+89.2891111719576j
-20.1518809306267-14.652794977891j,-44.0822581982665+136.415379771746j,113.620208178641-100.315454742226j,8.2345991602509-22.9129942764162j,-47.3503289774581-5.78705551102261j,-126.036537365793-133.575986309205j,16.3651205901056+40.1805286687083j,-21.5741133754082-5.6503773261547j,-183.072020428527-212.337589631508j,-123.888914464988-65.2941849353087j
13.047286208173+162.527707076241j,65.511005621727+11.4086898939641j,-62.2921391453489+30.7966680877201j,-15.6189471672475+77.8505523739206j,13.144811429417+88.7723688069232j,80.5231223267077-50.4076756813648j,-120.059126769667-51.0881465733219j,-29.7821066090729-43.6588375790665j,149.391660081197+148.204449771324j,61.324300247755+52.1522529483589j
-37.4428029971395+97.759449601428j,13.5479114734959+47.2755061237187j,75.7840343676452-31.3059467645248j,-42.7439914662406-27.933576387043j,0.594854966583783-9.59785111418291j,-73.4417597605098-77.2494417884145j,1.12082970366159-16.8101742730171j,-30.3303577372959+9.91029770528129j,-62.273342630589-77.2555169999708j,-69.232801658424-33.1465248740131j
15.4248508516633+32.264490549695j,20.2567023453129+119.328550211393j,-19.8794341899652-56.7134294994069j,48.6114347835398+79.84258452789j,-49.2988862032252+102.806530133748j,11.110494507426-112.175684414912j,-85.0692233193569+12.6846695346776j,-29.9954540488582-58.1672732662558j,-33.7136098970764+28.7989229983277j,-7.62750570277906+35.9675800378157j
-17.7544128037112+215.061526441769j,38.545350044019-53.7370427636787j,38.0808313210159+53.1758134653871j,-105.353411594253-23.373406949899j,63.0134896584292-32.339016802887j,-7.06126688844575-22.2742717826114j,-46.5448000144481-68.2210527052525j,-22.2078431672019+20.1019745444263j,134.161208286206-6.24893254125919j,-5.59984205333616-34.7249669924424j
-11.5689440494735-43.7270141650659j,21.1699119356202+184.926684552531j,5.78614144187507-118.099123801634j,98.094380208015+70.4498716131692j,-92.5312643368166+128.824095277039j,-41.1748624806409-150.537759237947j,-38.9745965706693+43.6748106516509j,-44.9795924779674-58.282145325682j,-187.647183051453+18.8100704345392j,-47.3058238521971+52.3918865818545j
