0.345458249236981+0.938434120241863j,0.740176922224284+0.672412168098248j,-0.781837427014071-0.623482347560873j,-0.348506995037541+0.937306179649907j,0.652879923572958-0.757461421720848j,-0.40312772741367+0.915143723898214j,0.254937965845525-0.966957410422272j,0.940063545916764+0.340999310319538j,-0.969231800521483-0.246149785411007j,-0.160763918307659+0.986992888814488j
-0.587334028554676-0.809344635431492j,-0.976593136513795+0.215094969058201j,0.594259597435712+0.804273293635655j,0.142190733788689-0.989839277471163j,-0.340836157026945+0.940122712236601j,0.444325289664272+0.8958655239291j,-0.353553372685846+0.935414353461857j,0.873247520900653-0.487276889705293j,0.333891990764756+0.942611340109564j,-0.998526204451102+0.0542717147736756j
0.964478848148945+0.264160086828582j,0.208386989280324-0.97804645221926j,-0.0861874444872817-0.996278939059113j,-0.204371666382201-0.978893365990475j,0.256985174471044+0.966415345543564j,0.50969478892207-0.860355288323194j,-0.880804739031191-0.473479684569671j,0.679028259196155+0.734112132588094j,-0.493385861166511-0.869810549488209j,0.21765315094931+0.976026180940776j
-0.462594875095159-0.886569783793523j,-0.865816670126241+0.500361363148184j,-0.836270592290757-0.548316967154643j,0.733717279745931+0.679454894310308j,0.971638503695447+0.236471178236319j,-0.91862666914744+0.395126616075254j,0.955562263861897+0.294789348320334j,-0.72325038183006+0.690585899930394j,0.236117351869382-0.971724547465068j,0.847101405804056-0.531431282749513j
0.112351751470646-0.993668498012027j,-0.957745551489652+0.287616860774509j,-0.691630841171822+0.722251188673275j,-0.308450513803694+0.951240390508223j,-0.768911405237114-0.639355340085845j,0.145617582592453+0.98934095216964j,-0.287210381543394-0.957867525670277j,0.770068592445253-0.637961098288436j,0.997330599862657-0.0730183167266422j,0.35850330205726-0.93352845827754j
0.619484484497275+0.78500890024709j,-0.13879523229233+0.990321101205522j,0.786784753305416-0.617227471817429j,0.0185920490123345-0.999827152918705j,0.84726522343926+0.531170068010634j,0.233582017482721-0.972337102608299j,-0.143937264618741+0.989586814713128j,-0.188643330065411-0.982045667991989j,0.977518142579025-0.21085132422836j,0.834456555394602+0.55107373114582j
0.999074982366274-0.0430020884356604j,-0.427522860773813+0.904004537331409j,-0.375216946378536-0.926937022213681j,-0.0689713015936769+0.997618644350873j,0.711805727266223-0.702376399540163j,-0.953413062378939-0.301667917560376j,-0.236714801546103-0.971579179855656j,-0.361896592098399+0.932218245169855j,0.64053571668076+0.767928379249175j,-0.748185718223652+0.663489360160476j
-0.22386284950837+0.974620656773697j,0.656752882956947-0.754105861751345j,-0.0951925440349852-0.995458878889604j,-0.972514860309258+0.23284081789425j,-0.216856532789389-0.976203485030946j,-0.565814501049897-0.824532564791504j,0.257980757264402+0.966150055054227j,-0.243773953315465-0.969832078086175j,0.0531310487523678-0.998587548319362j,-0.832693279175646-0.553734505711636j
0.754659060795958-0.656117140424301j,0.191319264359044-0.981527859556271j,-0.965529359636133+0.2602941714304j,-0.967215217281422+0.253958113592088j,-0.945210965231573-0.326460152554638j,-0.820341240849624+0.571874329342819j,0.00153671766922775+0.999998819248705j,-0.974664547512937+0.223671678630538j,0.909595023373316-0.415495960816103j,-0.137564704813026-0.990492782401621j
-0.0637129082037551+0.997968268698068j,-0.823603975404946-0.567165312494664j,-0.725823115269142-0.687881389006126j,0.997452409603773-0.0713350585310355j,-0.66628427571241-0.745697836887294j,0.748657585863512+0.662956875768717j,0.836038571309488+0.548670672883827j,0.909975692364835-0.414661596130072j,-0.970246814961644-0.242117983753345j,-0.538486892942344-0.842633886174358j
-0.480091979838467-0.87721815467692j,-0.531909574671553+0.846801159879182j,-0.394669177885366+0.918823290969101j,-0.31535873519119+0.948972532868372j,0.686875786353083-0.726774830412993j,-0.995692369920919+0.0927184150062047j,-0.993844339834352-0.110785505275829j,0.978933984876119+0.204177014510845j,0.551993957740607-0.833848110040349j,-0.0853323061421387-0.996352546806834j
-0.595536880561847-0.803327967825511j,-0.10874578574805-0.994069592172519j,0.0509542232567365+0.99870098985247j,-0.968698919932574-0.248238599982888j,0.633421072196995-0.773807305016443j,0.956285251435501-0.292435493548477j,0.939302118668445+0.343091139298248j,-0.832520592024417+0.553994100921042j,0.715092319226282+0.699030024379194j,-0.849866745772927+0.526997641768286j
0.267459149129528-0.963569200185907j,0.411466614206676-0.911424832552468j,-0.38264813521513+0.923894152279569j,0.87650158883405-0.481398966317322j,0.365782882067961-0.930700211231337j,-0.340488765809875+0.940248584342071j,-0.819753769868421-0.572716122338556j,0.998710415034047-0.0507691530609114j,-0.0454390846364113+0.998967111364236j,0.871618712046097-0.490184476305709j
-0.616237869372228+0.787560085550034j,0.423757378587028+0.905775736092025j,0.821155024597937-0.570705200237006j,0.97807026083969+0.208275214226226j,-0.952068311483404+0.305885485548334j,-0.312610744918499+0.949881320040299j,0.574009732148655-0.818848476458636j,-0.888069843967634-0.459708551405456j,0.652915105601957-0.757431095794717j,-0.690905099091966+0.722945464090287j
-0.152739372908536-0.988266504523707j,0.656883652693649+0.753991954084292j,0.855596690324048-0.51764302710124j,-0.836276285772814-0.54830828359056j,-0.547830861901879-0.836589114648192j,-0.218674693866197+0.975797816282925j,0.426200915312579-0.904628531379991j,0.996980893933223+0.0776472609440401j,0.346299080391282+0.938124163914432j,-0.996520803332033+0.0833443970911004j
0.768668535106307-0.639647311522158j,-0.319501995439716+0.947585602945739j,0.700871731754746-0.713287330342481j,0.931976768594445+0.362518003415357j,-0.899338075098907-0.437253961305547j,0.946483053395116-0.322753512197555j,-0.877297795414508-0.479946432595185j,-0.373559264687455-0.927606315074541j,-0.966247418758384+0.257615849168406j,0.36826477666984+0.929720955052812j
0.900250002042464+0.435373326953482j,-0.0417955441118388-0.999126184469407j,0.992366979544612-0.123319819613487j,0.968700649055993-0.248231852344736j,0.615655631578172-0.788015319207744j,0.958876750894016-0.283822790830715j,-0.245035055763806+0.969514219311315j,0.99458203441783+0.103954686345976j,-0.839830976090183-0.542847982034944j,0.6457088662903+0.763583695474239j
-0.624167294936952+0.781290719214741j,-0.298432484124845-0.954430747838246j,0.97017062573218-0.242423094952668j,0.943397094886184+0.331665375582541j,0.426601021844927+0.904439919597131j,-0.995912915471825+0.0903186846472555j,-0.98495074788118+0.172835251752365j,-0.82657461665795-0.562827152060705j,0.950148761498476-0.311796938764498j,0.869110843428403-0.494617369119979j
-0.354765166138768-0.934955441127828j,-0.400096265651045+0.916473119197769j,-0.891283658666321-0.453446181805931j,0.717568620335405+0.696487814042674j,-0.210535604589509-0.977586190164392j,-0.436301033872759-0.899800760080564j,-0.235790080048143-0.971804012211768j,0.212103334616382-0.977247243764141j,0.0106443217372837-0.999943347602629j,0.622323892575819-0.782759843585043j
-0.907282419672346+0.420521831720415j,-0.994726490918356-0.102563191571123j,0.45728504351937-0.889320183608518j,0.125659898533343+0.992073379292374j,0.639339384154523-0.768924672428266j,-0.866591387171246-0.499018404150203j,0.884998457032399+0.46559395512643j,0.851928743593371+0.523657727756805j,0.654413281774625+0.756137062070737j,-0.621893340964356+0.78310195534438j
0.962743073703134+0.27041777685027j,-0.491183116726355+0.871056339075139j,-0.349539420880601+0.936921658011199j,0.85608376836092+0.516837093820641j,0.467317415714574-0.884089606866777j,-0.801330887232236-0.598221371373172j,0.737683357634667+0.67514684615189j,0.226910913820438+0.973915518507213j,0.335533767996342-0.942028179267572j,-0.929944587008248-0.367699694171831j
-0.66467504850769-0.747132571831332j,0.963420695767122-0.267993587549393j,-0.808768804792951-0.588126704370565j,-0.959339590263331-0.282254407500369j,0.237367875158456+0.971419832946991j,-0.941148429206776+0.337993541656667j,-0.827159680462832-0.561966959007935j,-0.284932791332465-0.958547497218312j,-0.316940037588056-0.948445577022573j,-0.599974745962543+0.800018939905288j
