-0.624711259084749-0.780855839942782j,0.0565021999134151-0.998402474658864j,0.863080390751181-0.505066568979563j,0.881120516755588-0.472891779324156j,0.834066689135226-0.55166362765276j,-0.984225081966956-0.176920852437294j,0.885135866799301+0.465332673799563j,-0.675839798502405+0.737048551155369j,0.237911127496858+0.97128692743863j,0.384016909630751+0.923326060023028j
0.143633980799994-0.989630880459754j,0.450707559458065+0.892671661837293j,-0.953566927910659+0.301181197944074j,0.738689471929184-0.674045891657967j,0.403658295826905-0.914909820807558j,0.78469428026449-0.61988296195346j,0.354914087764138-0.934898919833877j,0.815085430029513-0.579340782056298j,0.315575527664067+0.948900461765904j,0.951741695101008-0.306900221254825j
-0.0229868908632171+0.999735766514554j,0.916044916079662+0.401075693260767j,-0.258397919599776+0.966038568146483j,0.392481659385948-0.919759831176407j,-0.60035740699403+0.799731819966797j,-0.924361009007177-0.381518970730466j,0.942442352516815-0.334368677035651j,-0.979018252620809+0.203772571842477j,-0.0473794469045475+0.998876963399907j,0.794948028305502-0.606677535675415j
-0.995161411308422+0.0982535772510549j,0.583790750313327+0.811904156811999j,-0.511800932644797-0.859104071311454j,-0.970857039227648+0.239659361140194j,-0.728148367916927+0.685419546190445j,-0.454886415203831-0.890549464804178j,0.966670009411496-0.256025570801783j,0.980502132383837-0.196508443560955j,0.611412086943409+0.791312365592441j,-0.664270923714422-0.747491899559847j
-0.806200461934703-0.591642472424244j,0.248915505062602+0.968525204287132j,-0.998298337269334+0.0583132043818829j,0.978449240188525+0.20648749205339j,0.153168319601008+0.988200114283844j,0.176785348201685-0.984249430104589j,0.679643442844154+0.733542630389636j,0.978714971355812-0.205224279372572j,-0.463135329032767-0.886287575791126j,0.107657169027866-0.994188077758381j
0.983658811149733+0.180042615087357j,0.570050354858074-0.821609757078252j,0.0732076932711951-0.99731671681864j,-0.338199552932211-0.941074419159533j,0.394281617060181+0.918989666127105j,0.812912306807003+0.582386110275406j,0.107850793974397-0.994167091709986j,0.507248114125866+0.861800064235175j,0.955435633423976+0.295199509457123j,0.118242344953969+0.992984767184163j
0.855090244797582+0.518479192689554j,-0.861206237223408+0.508255661028482j,0.871873222186032-0.489731645327261j,0.857036483889738+0.51525572804377j,-0.987959279183179-0.154714132114213j,-0.672587547049396-0.740017561652476j,0.938108065924697+0.346342686723747j,-0.89839507951819+0.439188206919887j,0.530735246447499-0.847537667704694j,0.581927563761753+0.813240622776747j
0.931821883432084+0.362915937314805j,-0.564679442468476+0.825310321790229j,-0.091484897649453+0.995806463878433j,-0.820338597951046-0.571878120504458j,-0.999473111759252+0.032457647331215j,-0.721219386569071+0.692706717476402j,-0.366294149023327+0.930499111440348j,-0.0177851479834797-0.999841831747005j,0.427343745018448+0.904089223248241j,0.186313795349668-0.982490289856547j
0.0728555725525096+0.997342501625217j,0.974609701992815-0.223910537450735j,0.168281641255721-0.985738955919j,-0.929288261900434+0.369355284643486j,-0.177834146869881+0.984060473856694j,-0.0700886563081064+0.997540766213053j,-0.997401884670494+0.0720380486669903j,-0.324263917759621+0.94596665461272j,0.689593716590182+0.724196455417547j,0.118850740464339-0.992912131807784j
0.664262419749997+0.747499456660591j,-0.393157093205134-0.919471315519136j,0.00439449071064826+0.99999034417908j,-0.774544180682124-0.632519811682968j,0.99492565161163-0.100612860833859j,0.994089272738159+0.108565730444364j,0.150550902415718-0.988602258636816j,0.174701251477216+0.98462148703565j,0.784282261992153-0.62040416949314j,0.486378779794311+0.873748065843809j
0.621293035117743-0.783578307837949j,-0.21038818664034-0.97761792686212j,-0.368070788822714-0.929797770708999j,-0.394200992646557+0.919024252888067j,0.450242190304317+0.892906473304999j,-0.27400636184782-0.96172787921892j,0.614178544340891-0.789167102501938j,-0.601917087196865-0.798558589046816j,0.939565076640834-0.34237036489291j,-0.96628887697626-0.257460300302704j
0.937394426808507-0.348269563109313j,0.66755428610099-0.744561129195043j,-0.0627116180538997-0.998031689357137j,-0.954058994986798+0.299618814637502j,-0.986030936695038+0.166562276282196j,0.652672535238204+0.757640126805422j,0.853400262353108+0.521256167556458j,0.568527791313085+0.822664056893618j,0.934178467478098-0.356806097061515j,-0.589372978946864+0.807861059642869j
0.962238216582454+0.272208770153017j,0.132976349261645+0.991119211062446j,0.609832834534424-0.792530071305631j,-0.112099051568838-0.9936970376515j,-0.998715788730428+0.0506633332949914j,-0.49544567196182-0.868638927365278j,-0.468487998993214-0.883469860719275j,-0.422290653202061-0.906460481332847j,0.311354232482241+0.950293923960053j,-0.998293182692579+0.0584013817432578j
0.690887810231401+0.722961986326847j,0.792704706035919-0.609605814464156j,-0.803126161549982+0.595809003485171j,-0.361312799734911+0.932444669000644j,0.982071544124796-0.188508573333787j,0.99998121002337+0.00613022024040951j,-0.989369899832754+0.145420773292284j,0.590318828426392+0.807170168431225j,-0.997672385199449+0.0681895285981792j,-0.697192889746808-0.716883585030719j
0.0108828126135011-0.999940780441332j,-0.667893713328557-0.744256667888298j,-0.579461615779183+0.814999531189177j,-0.698520296008472+0.715590243130967j,-0.498292971567003+0.86700871649997j,0.877935260310062+0.478779363281568j,-0.959132817636088+0.282956247737099j,-0.816278550284421-0.577658487642624j,-0.19736667280406+0.980329738642185j,0.0244112149106928+0.999702001891856j
