76.4408971154923-28.5455603365083j,37.9536030772383+0.675037483550469j,131.664432975071-34.4384025494792j,-168.894180964262-50.209338313576j,101.091643030376-91.6722347436321j,-37.7685747418394+110.630761275367j,-30.9015879460492-152.035745970567j,248.519239667933+44.6306436024834j,107.172890017919+27.632867819329j,76.4002631343557+210.969229698371j
-47.0941013012056+67.5358086247922j,21.6578592614195-56.6887076773527j,-85.8963875421499+157.936706303386j,82.2885012176257-32.2772828235872j,-32.8102703376688+98.9359622374621j,-112.089886257182-91.7939097513117j,62.5109089584256+118.168457437684j,-148.820668206579+55.9747091677836j,-68.2922933338684+58.2309253712664j,-92.5267810570272-16.9722396329857j
-5.44597074867989-79.7433763499951j,68.4179764249529+2.96021587473224j,13.5202847701313-141.127446142667j,-138.556022512988+62.2702146712291j,-32.4840313098094-134.028122536454j,37.474553527817+41.696515516135j,-165.630252131069-81.3397499625349j,176.6143226341-146.31719611173j,58.5337971491442-39.0472135305783j,182.925506773392+101.968879316132j
-43.3151954483136+114.560735341405j,22.7575849693875-59.3645971720529j,-86.5253862912998+197.90222732436j,86.7414496784976-85.7824001117404j,4.42384971759703+171.049586065212j,-185.298228231191-55.7539998515828j,103.252994196105+123.896568280385j,-173.15388318469+159.561060195874j,-42.9246777290385+112.931139183801j,-137.507811560918-4.17660098029566j
-10.5817724411851-81.5954629311949j,70.3500497025954-18.3013778240819j,2.06126063958365-132.707821091574j,-131.829098261765+84.1764648673802j,-72.2052317422245-126.951411814112j,40.1226797056132-2.58998505353541j,-164.64198396436-56.6535425292352j,148.672118487639-189.205499094157j,35.1085289767038-38.8424367257833j,183.81831393633+72.6164524447019j
-44.5910155787902+73.5700096893325j,20.3801112439239-20.452145282008j,-69.8117986811523+144.645774606488j,75.7208426975571-71.3380879841123j,25.2656184457213+88.9148291582401j,-119.291267006556-21.6159825567023j,59.588807368102+82.187775877492j,-110.677614661252+127.425728816067j,-34.7486562263697+61.1533998132406j,-90.5998614849407+27.7173417191918j
3.75393520766887-7.67723263751466j,67.561916731708-69.5538528519983j,-10.0580669519701-44.7488997839465j,-124.121962122277+41.0852239968453j,-57.8554867411969+9.23535762959382j,-76.041329374293-4.327224237909j,-85.9147560329048-9.98104143366478j,76.0365624849948-88.0479290158699j,53.9316939780269+47.3608044998951j,103.253890617258+48.2382926324228j
-71.6819107428226-12.2641184215593j,27.3650039329419+29.0111208570761j,-65.2121781879244+45.5086970495233j,76.1796102764339-11.6018902361862j,-26.5710091344649-63.5593389134379j,13.0223280694392-54.8935905606492j,-33.5066402760429+45.7795907550466j,-53.3803956124905-17.2491606994985j,-78.8944617454496-33.8637588313466j,5.71017175916891+35.2469789596416j
38.4122580276853+70.0434479791203j,56.1648521438892-109.10238104315j,-6.57237742533319+44.0483237731324j,-133.128072771301-16.0464514853746j,20.4084521195117+140.363766072607j,-188.974152362894+60.8084277931333j,-0.829751331518464+11.3449795801983j,49.0201638259875+61.5583963287654j,115.228867041646+124.204170610922j,18.3349363412707+55.6412683634896j
-102.192125237791-61.9031392164422j,36.905637446792+47.6323618431781j,-68.6759633372462-9.87542755135686j,89.0244290170218+27.8029669724292j,-107.109434233898-140.336039985134j,75.5714596054799-128.007473052772j,-86.4134720309131+41.4784111082662j,-59.654537074061-130.70484138982j,-137.560811634944-72.1061861199661j,60.5856942287683+18.251947465465j
53.0575340655566+83.0497361359347j,51.199147689545-106.687477752344j,-10.7788702003861+56.493945852912j,-141.80509638672-24.5709443783024j,76.0494724957017+149.255066740266j,-187.132055643244+120.375129530391j,6.84555215896453+8.05081243371823j,76.2688979333735+106.73270847765j,153.177560077631+114.953177422225j,8.82504190154336+68.1192351106752j
-90.4079191576072-36.6535349236836j,31.5713004646256+23.9343371865721j,-46.6283162111089+23.4871632349269j,84.9735172235923+3.79963150476616j,-114.019682337125-84.1948293897643j,11.915834112107-146.497362237991j,-44.3214412144373+44.1120088278167j,-88.5063312928071-93.4940565548023j,-137.193947765829-20.3202688611401j,26.8740382209389+20.6524512170159j
12.4902217683262+30.7242444846273j,65.2771870215413-71.9692705834972j,-52.7314607302858-9.56728493163771j,-119.368450437416+28.1752524723787j,24.8856154123469+51.2655196682657j,-82.8931864656503+89.3539848359582j,-73.3624546457588+17.9885877773841j,84.712843027461-4.94447678977177j,110.757999776119+36.5903594029287j,77.1937480097047+40.8431585358246j
-25.6384662237122+28.788406712747j,9.60395771855549-14.7647466240938j,13.6721005268282+106.163787884571j,43.8942701141725-63.7390437824796j,-11.4462336308852+25.9036313625296j,-103.554426230475-64.7086866375641j,55.7822698110759+19.2935371038717j,-63.5594991049624+65.0520139294054j,-57.7510828259195+62.4923920649601j,-53.960472404859+70.7369308514745j
-62.2320687408083-29.3640576320615j,86.6679391109422-41.7673311366794j,-119.086092456015-85.5625944373362j,-65.7069418820232+96.7399297092293j,-104.260330104194-38.1315762141028j,12.0651942599787-20.0639172905618j,-167.090218897736+57.2880360070742j,24.7015989353497-170.875314934066j,14.7060967013084-30.0093382786203j,151.134316906915-25.3412275972326j
41.7108724615169+71.9482663927119j,-5.70156305977008-32.4856674699634j,72.5423189134738+160.16962792916j,-11.1367812095498-117.514282403098j,110.523602485621+74.3199092055136j,-156.538417879157+46.734886545925j,122.526410381972-22.6812047708406j,17.192637960568+198.206196182155j,31.7231164716544+99.0730533167575j,-100.087372071072+135.321984485246j
-103.312148105488-47.7088626950922j,86.6789765862136-41.7397622980322j,-152.865694702119-105.204264061916j,-22.5635860078791+128.253042730075j,-183.041973443436-37.3175970337645j,14.605686102363-97.0192645158636j,-190.695262059307+90.7291712905649j,-53.7249825902249-241.334986570901j,-41.5887643254157-34.0171395944383j,162.369252282433-72.6455938246839j
44.8237066466204+68.7335759301629j,11.08804145394-19.8245348859552j,71.7498728484557+147.317802418497j,-30.9265086386591-123.062125138982j,121.503496992505+35.0947519464766j,-117.701126965048+68.6381551420751j,101.966357506212-32.6383309202445j,65.7498765113228+194.24626315714j,39.9043801202946+78.2256252011306j,-74.7972901597841+148.678494879424j
-64.4019677230835-29.2365265738805j,51.6296962664033-64.1707602372965j,-112.8717771618-65.6631390349079j,-31.8958786316088+114.35792144532j,-117.753532905427+21.0702319449043j,-45.8702196988011-50.0417553510053j,-132.923381238725+72.1869326196119j,-53.012379303465-171.558911850576j,4.09891185551675-3.74916066673376j,113.602671707579-47.9935738768876j
-27.4564220587994+47.3480075853652j,56.3134849084164+2.52677510277232j,1.92302865887362+96.722321003096j,5.58585521230421-97.631449457038j,-6.10389340447684-16.3973149516905j,-61.5348652319123-33.6231140810107j,26.103055621821+15.0500451730477j,8.68796745007396+84.1584717984943j,-46.9003593801779+54.9422948911797j,-16.0119151283027+88.4473302401469j
25.1513590814297-12.806890292017j,3.24858318613617-82.9682932370246j,-27.9148760172824-15.6701077813212j,-85.6025659428236+89.8491329087297j,42.1889690536521+47.7077526088245j,-77.0278711384415+85.661392475476j,-57.4638679751492+8.47103171416396j,48.2311785869979-54.9875952716576j,111.176514583129+0.0327497716205514j,63.5851166598972+30.6194476630323j
-111.334583555834+42.3607875348968j,94.8306193881622+11.5381980210983j,-74.5712334239377+59.8669270942659j,61.1313555760622-80.8876562382608j,-157.262947759235-8.75599218714003j,-66.5202088882935-162.575273884566j,-29.5152843441151+79.0728269305667j,-110.763008249513-6.81553661153109j,-143.780196106562+73.9071172057148j,16.3567647313339+10.7450997970575j
