-0.684352507816816-0.7291513183454j,0.974869550729837-0.222776477797378j,0.061990020078317-0.998076769297177j,0.828244737235314-0.560366536511599j,0.253144538464892+0.967428469007087j,-0.201889245305234+0.979408358464478j,0.323748264822698-0.946143256079275j,-0.990489294959554+0.137589812742533j,0.973533351223858-0.228544993502033j,0.980489652731744+0.19657070200308j
-0.795263961699037+0.606263334882419j,-0.0934126645301528+0.995627477576517j,0.983664224894547-0.180013034701966j,0.811460566645996-0.584407177213421j,0.965109395502106-0.261847006310096j,-0.696710830080427+0.717352088760215j,-0.995025694040548-0.0996186137181445j,-0.760891184521688+0.648879499843524j,0.874608858662902+0.484829190899615j,-0.518384160538879+0.855147859789406j
0.575771543455711-0.817610622329864j,-0.567441998382478+0.823413370350336j,0.865784170143497-0.500417596342231j,0.964255221552076+0.26497522093501j,-0.472966095919971+0.881080627474138j,-0.980894907536112-0.194538377626942j,-0.465863699707365+0.884856493051255j,0.606145888692929-0.795353482183023j,0.972010311436937+0.234938192851373j,0.0395187554831485-0.999218828868363j
-0.995683835676986-0.0928100176250643j,0.80893464917413-0.587898574046176j,-0.960928882837397-0.276795379529488j,0.975066828263978-0.221911424715416j,0.997939393438008+0.0641635957890579j,-0.779118489338994-0.626876686095538j,-0.445059057293041+0.895501220279141j,0.914558417851978+0.404453829671679j,-0.576587501263937+0.817035405221958j,-0.479533224381412-0.877523724302863j
-0.759074220867099-0.651004091550128j,-0.938533977651353+0.345186866485285j,0.81276001185927-0.582598629523379j,-0.641419986398983+0.767189938051802j,0.75354734010198-0.65739364632253j,-0.743675908399016+0.668540307884946j,-0.268053160701342+0.963404122389987j,0.193424940227762+0.981115076073081j,0.567961081380433+0.823055411279926j,-0.692686007338529+0.721239277381236j
-0.274392732919632+0.961617714125991j,0.853442919068828+0.521186323584261j,0.90351054018284-0.428565868657915j,-0.843427092735096+0.537243649790692j,0.0889085030987559-0.996039797436196j,0.852844782797409+0.522164510911302j,0.0162262103295966-0.999868346382832j,-0.976403768275729-0.215952960843226j,0.999989445671538+0.00459440371875725j,0.659185427197156+0.751980433635678j
0.998545184487632+0.0539213736523916j,-0.419040978397699+0.907967322332417j,0.801899750286115+0.597458609856002j,-0.527772032551088+0.849386061609733j,-0.289188965103207+0.957272031589002j,0.426482960505409+0.904495596671726j,-0.431617922933226-0.902056521844839j,-0.0216657048980603+0.999765271066799j,0.990537713025032+0.137240806887527j,-0.125422172082444+0.992103461716631j
0.768357066964338-0.640021419677466j,0.368595861701529-0.92958974323973j,0.0719270450133863+0.99740989577788j,0.936611155296609-0.350370580634208j,-0.781588026287213+0.623794964042239j,0.323418303995251-0.946256096752267j,-0.997659591798408+0.0683764498393502j,-0.183890802491496-0.982946678492294j,-0.999069049317386+0.0431397113580351j,0.749854025563999+0.661603310409995j
0.124905667289256+0.992168621898025j,-0.73868670320183-0.674048925904353j,0.999472301027402-0.0324826027126864j,-0.659358691299941+0.751828515159693j,-0.769390018201463-0.638779304526965j,0.468259907670844-0.88359077568074j,-0.661725878679801+0.749745864600429j,0.97944829322025-0.20169541617979j,-0.518947810064663-0.854805925593108j,0.828711853271905-0.559675499058735j
0.763626201501676+0.64565859738729j,0.943732687341401-0.330709260292749j,0.960264114673614-0.279092869973601j,0.925281210576812-0.379281796760021j,-0.988218825939203-0.1530475483611j,0.159988859749043-0.98711881997873j,0.703423678687363-0.710770798684032j,-0.99636944204138-0.0851348046697013j,-0.467126749335412-0.884190364149786j,0.00745330401510926+0.999972223743869j
-0.19740122576598-0.980322781570483j,0.951012335775675+0.309152934973121j,0.916916269935497+0.399079633566503j,-0.999994866266169+0.00320428483543495j,-0.443663901310364+0.896193250741193j,-0.943093118250489+0.332528751100666j,-0.0488638145985154-0.998805450336992j,0.970745516486965-0.240110687434889j,-0.712106391148897+0.702071568776926j,-0.992337988056086-0.123552893372837j
-0.54635789547382-0.837551819324284j,-0.980684838920868+0.195594597856769j,-0.460149601472923+0.887841395894734j,0.348352838566131+0.937363483320595j,0.271073462677735+0.962558662021127j,0.582074004937182+0.813135814471599j,0.989984076582309-0.141179064005513j,0.780348558194381-0.625344807065631j,-0.820731737491813-0.571313762370266j,0.894202318370958+0.44766305835975j
-0.871660248717852+0.490110610786108j,-0.978412854126153+0.206659833738238j,0.511026546462732+0.859564929956064j,-0.994630089492835+0.103493889073098j,0.534074423524742-0.845437466721646j,0.135479506206012+0.990780148871673j,0.403227712820594+0.9150996730485j,0.753256702944903-0.657726644943456j,0.458278307734717+0.888808749203001j,-0.97307143198587-0.230503770582975j
0.760586629249906-0.649236458777744j,-0.142901122751832-0.989736969662276j,0.0590004579359355+0.998257955622368j,0.919266455348006+0.393635852117046j,0.939028716882606-0.343838725087512j,0.633307030006166+0.773900643328825j,0.950889275171255+0.309531236492032j,-0.818083035025479-0.575100119808282j,0.966704728843056+0.255894445489684j,-0.243116537189537-0.969997087286848j
0.299415089221172+0.954122950330133j,-0.680053178621223+0.733162788367748j,-0.128865487805648-0.991662082592963j,0.631972447048289+0.774990855540759j,-0.503309358909796-0.864106295101367j,0.424377755125065+0.905485240605837j,0.239235245109045+0.970961635440667j,0.999795677841522+0.0202139201890898j,0.850604918531296+0.525805356163635j,0.727156376789961+0.686471852076759j
-0.0292355135941977-0.999572551016125j,0.78234296020856+0.622847888823673j,-0.77735288445535-0.629064776496783j,0.533375574319065+0.845878535440998j,0.843258323969859-0.537508510681966j,0.70640680810275-0.707806062043894j,-0.0680324365094205-0.997683109801199j,0.280015532205369-0.959995469637093j,-0.964483661491899-0.264142512131576j,0.271616707290412+0.96240550929466j
-0.413161175156581+0.910657917850184j,0.943118316613352+0.332457276756574j,0.502620270653396-0.864507295242965j,-0.107473431298159+0.994207956900869j,0.0662522018140639+0.997802909273564j,-0.662033283417568+0.749474436953892j,0.975331019579384+0.220747372003019j,0.977905153181873+0.209049064528733j,0.910513655199459+0.413479000307537j,-0.457575854599301-0.889170589531457j
0.970643770306891+0.240521664646706j,-0.998008311730092-0.0630825627067568j,0.0150442438904194-0.999886828959041j,0.987301498755857+0.158857642417478j,0.516142811792426+0.856502538136933j,0.619642222848381+0.784884396368992j,-0.535151972088962-0.844755803039728j,-0.510962001446216-0.859603299829682j,-0.973689108047994-0.227880496902875j,-0.358002615059679+0.933720583263768j
0.818174487581821+0.574970006061381j,-0.940703069601127-0.339231093567523j,0.844428644467925+0.535668054304214j,-0.794546296271941+0.607203576307436j,-0.998632901566762-0.0522716740534394j,-0.699393297823604-0.714737025037477j,-0.202004895421738-0.979384511938826j,0.0489357921677154+0.998801926432322j,-0.775216240873077-0.631695955255862j,-0.922159752940361+0.386809242465808j
0.913170034639101+0.407578811810946j,-0.86533842989692-0.50118799042229j,0.136388616252508-0.990655412016068j,-0.000337150524033889-0.99999994316476j,-0.997082649149926+0.0763294881691574j,-0.994215135338559-0.107407004723766j,-0.756334940671511+0.654184574504338j,0.666018999803989-0.745934777242685j,0.612050402493931+0.790818755978269j,0.935682224583353-0.352843838827812j
0.674142303469205-0.738601485696606j,-0.966114221446654-0.25811491843465j,0.864472019681778+0.502680939749367j,0.220591813723772-0.975366214156538j,0.348732874894795-0.937222162546112j,0.86536625483178+0.501139945522624j,-0.965546666330509+0.260229965872572j,-0.962110697980764+0.272659136709129j,-0.971285179038767+0.237918265334189j,-0.145627959310814-0.989339424801705j
0.983631194011457+0.180193435417593j,-0.993445712905719+0.114304923381489j,-0.990751102267195+0.135691758616132j,0.109859820032333+0.993947091118266j,-0.102146812255451-0.994769334441935j,0.36550063732688+0.930811089380463j,0.559717246551056-0.828683657322445j,-0.994636756213135-0.10342979836494j,0.237180541981774-0.971465588945503j,-0.306288734533558+0.951938659314681j
